X95735_at,M84526_at,M23197_at,M27891_at,M31523_at,M92287_at,U05259_rna1_at,X59417_at,M11722_at,X17042_at,D88270_at,M16038_at,M84371_rna1_s_at,L09209_s_at,M63138_at,U46499_at,M22960_at,M89957_at,J05243_at,M31211_s_at,M55150_at,M62762_at,X16546_at,M19507_at,U50136_rna1_at,class
-0.2629,-0.5237,-0.2865,-0.4796,-0.041,-0.297,-0.8754,-0.2841,-0.4452,-0.7124,-0.7871,-0.3047,-0.9619,1.6996,0.4318,3.1619,0.1679,-0.9407,-0.2611,-0.0571,1.3128,0.4681,0.5669,-0.2939,0.5884,ALL
-0.5682,-0.5004,-0.6035,-0.5378,0.1896,-0.7071,0.159,-0.7838,-0.8809,-0.6862,-0.7556,-0.2971,-0.2897,-0.7682,-0.8543,-0.5846,-0.6422,-0.0101,-0.6329,0.4623,-0.5011,-1.2073,-0.7021,-0.4952,-0.5159,ALL
-0.44,-0.5095,-0.5729,-0.571,0.2341,-0.2452,-0.0541,1.4183,1.6083,-0.5943,-0.7383,-0.922,1.9937,-0.7048,-0.6213,-0.6875,-0.7487,0.6713,0.8715,0.305,-0.2183,-0.9634,-0.691,-0.4481,-0.0228,ALL
-0.3193,-0.4953,-0.5183,-0.5076,4.1331,1.3149,1.7528,1.9032,2.6395,-1.0229,-0.3627,-0.2014,2.9033,-0.2694,-0.281,-0.5933,0.5928,3.4121,2.1605,4.0139,-0.2969,0.5585,-0.5728,-0.464,-0.5923,ALL
-0.7515,-0.5217,-0.6079,-0.5618,1.97,-1.0181,-0.018,1.1072,-0.2555,-0.4686,2.658,-0.4143,-0.2654,-0.6484,-0.9153,-0.6392,-0.511,-0.6909,0.0383,1.0914,-1.5821,-0.3194,-0.8683,-0.5349,-1.0947,ALL
-0.7208,-0.5478,-0.6407,-0.5582,-0.8779,0.0537,0.841,-1.0265,-0.7682,-0.9672,0.8036,-0.6763,0.5882,-0.7097,-0.767,-0.7359,-0.8541,-0.267,-0.5338,-0.902,-0.5881,0.1036,-0.6744,-0.5165,-0.5831,ALL
-0.8517,-0.5568,-0.6757,-0.4714,-0.508,0.267,-0.6593,-0.2892,-0.5811,-1.0235,-0.7665,-0.9661,-0.6706,-0.6732,-0.6392,-0.6243,-0.8531,-0.8502,-0.3564,-0.0498,-0.3923,-1.0885,-0.8905,-0.5304,-0.6919,ALL
-0.6638,-0.5534,-0.6888,-0.5751,0.9352,0.3836,1.026,0.3014,-0.3198,-0.5406,0.7247,-0.3286,0.6821,-0.4789,-0.6224,-0.6107,-0.4195,0.5329,0.1107,0.5172,-0.3923,-0.5742,-0.3918,-0.5152,-0.4974,ALL
-0.3916,-0.5364,-0.468,-0.5791,-0.5513,-0.5606,0.7327,0.3175,0.0501,0.1072,1.0898,-0.9144,1.2836,-0.8158,-0.6121,-0.5871,-0.7025,-0.0566,-0.5509,0.3343,-0.3271,-0.8501,-0.6873,-0.503,-0.1825,ALL
-0.5437,-0.4939,-0.6319,-0.5305,1.0359,0.82,1.7763,0.0571,0.8983,-0.5204,1.9875,-0.6398,2.2944,-0.3769,-0.6271,-0.6032,-0.6659,1.9257,1.026,0.9415,-0.8759,-0.6848,-0.5303,-0.4933,-0.6062,ALL
-1.1741,-0.5917,-0.7281,-0.5358,0.0609,-0.2102,0.439,-0.5568,-0.0438,-0.9874,0.6053,-0.3689,0.4721,-0.8978,-0.3346,-0.5487,-0.724,-0.1612,-0.7149,-0.8947,-0.7973,-1.7106,-0.7926,-0.5395,-0.0494,ALL
-0.6889,-0.5704,-0.5445,-0.5521,0.5384,0.203,3.3502,0.6421,1.931,-1.0699,-0.0366,-0.7708,0.1651,-0.8826,-0.7662,-0.5772,-1.1855,1.2334,0.3853,0.3123,-0.6868,-0.1147,-0.4065,-0.4462,-0.2393,ALL
-0.7304,-0.6274,-0.3784,-0.5302,-0.4893,-1.0189,-0.3468,-0.4169,0.6306,-0.6743,-0.1101,0.0267,1.5168,-0.6394,-0.7453,-0.6032,-0.9617,-0.6921,0.7819,-0.507,-0.8943,-1.0556,-0.5839,-0.5325,-0.362,ALL
-0.7379,-0.514,-0.5751,-0.5002,0.8509,0.8805,0.6266,-0.0157,0.5488,-0.746,0.3628,-0.6436,-0.6326,-0.2598,-0.709,-0.6603,-0.7713,1.1232,-0.6692,-0.101,0.8828,0.3749,-0.2625,-0.3663,-1.464,ALL
-0.563,-0.4213,-0.2844,-0.5238,0.0328,-0.6984,-0.0995,0.03,1.5074,-0.2964,-0.0663,-0.5831,-0.5714,-0.4706,-0.5996,-0.6119,-0.5992,-0.1879,-0.141,0.3782,-0.4526,-0.0325,-0.7261,-0.4116,-0.2173,ALL
-0.3318,-0.5186,-0.4265,-0.5705,1.6434,2.2799,0.9189,3.1444,1.4587,-0.5886,2.9127,-0.7532,1.0736,-0.2536,-0.5126,-0.6032,-0.6056,1.0454,0.0268,2.0534,-0.1848,0.0753,-0.3973,-0.4928,-0.6479,ALL
-1.034,-0.5327,-0.0592,-0.4765,0.5185,0.4155,2.1306,0.9097,1.2636,-0.8597,2.0313,-0.4861,1.1,-0.9301,-0.1529,-0.576,-0.7186,1.4055,0.5283,-0.1229,-0.2401,-1.3215,-0.2052,-0.3176,0.071,ALL
-0.6467,-0.5103,-0.7522,-0.562,0.5326,1.2897,0.2544,0.2363,-0.3646,-0.7019,0.6425,-0.3588,0.3803,-0.4982,-0.6719,-0.6342,-0.3517,0.8784,0.0592,0.8281,-1.4332,-0.6172,-0.715,-0.5218,-1.0426,ALL
-0.8199,-0.5129,-0.7194,-0.5572,1.3156,0.1892,0.0847,0.208,1.5619,1.1803,0.7062,-0.6965,0.7665,-0.7386,-0.564,-0.4855,-0.2969,0.5718,0.5131,-0.2217,0.2134,-0.8337,0.325,-0.3304,-0.7903,ALL
-0.8768,-0.4897,-0.6319,-0.4587,1.0897,0.9755,3.0291,0.9693,1.96,-1.0309,0.6628,-0.6599,1.0388,-0.6883,-0.6862,-0.7979,-0.242,0.7146,0.3605,1.1719,-0.9981,-0.4299,-0.5894,-0.5343,-1.3205,ALL
-0.825,-0.4877,-0.656,-0.5285,0.2938,1.7127,0.4443,0.2718,3.079,-0.6558,1.7541,-0.8678,0.7117,-0.1227,-0.546,-0.6727,-0.3474,1.1621,-0.385,0.2831,-1.219,-0.7323,-0.5894,-0.548,-0.994,ALL
-0.7743,-0.5024,-0.8309,-0.5333,-0.0515,1.463,0.1802,0.3572,0.8913,-0.9899,0.5032,-0.7595,0.4922,-0.6869,-0.473,-0.7086,-0.1592,1.4011,-0.2687,0.3123,-1.0918,-1.1671,-0.6097,-0.5295,-0.854,ALL
-0.7658,-0.5699,-0.6691,-0.502,0.2961,-0.5115,0.675,-0.0698,-0.3147,-0.9691,0.4323,-0.4407,0.6694,-0.7427,-0.6591,-0.6367,-0.3152,1.2742,-0.4575,-0.1522,-1.1336,-0.7661,-0.6319,-0.3778,-0.7486,ALL
-0.5004,-0.4868,-0.6276,-0.5478,-0.2294,-0.5924,0.4831,-0.8671,-0.3061,-0.7195,-0.6503,-0.738,0.0828,-0.7586,-0.6392,-0.6925,-0.7982,0.0759,1.1061,-0.6277,-1.2173,-0.3376,-0.4712,-0.5469,-0.4604,ALL
-0.5528,-0.4848,-0.409,-0.4668,0.3944,-0.2734,1.2122,-0.0106,-0.4156,-0.6462,-0.0218,-0.4659,0.3656,-0.5877,-0.9105,-0.5735,-0.7089,-0.0471,0.5912,0.3782,-0.6233,0.2361,-0.5746,-0.4749,-0.3469,ALL
0.3094,-0.4463,-0.75,-0.5145,3.3933,1.2124,1.0744,1.472,0.9613,-0.3501,2.0863,-0.3954,-0.715,-0.162,-0.5368,-0.6888,0.1044,0.8842,1.2243,0.6964,-0.2986,-0.2243,-0.3437,-0.5107,-0.3238,ALL
-0.5653,-0.4744,-0.3609,-0.5687,0.9013,2.3718,0.5882,1.4775,0.6993,-0.3994,1.5909,-0.3412,1.0989,-0.337,-0.3574,-0.6479,-0.5034,2.1685,0.3453,0.6708,-0.6935,-0.0946,-0.5081,-0.4002,0.1937,ALL
0.6055,-0.4367,-0.3718,-0.1972,-0.1112,-0.2522,-0.7133,-0.714,-0.8468,0.3281,-0.7086,0.8468,-0.6991,0.2259,-0.1177,-0.6429,-0.426,-0.6169,-0.1238,-0.6935,-0.6417,0.6736,-0.8369,-0.5427,-0.3886,ALL
-0.2903,-0.5007,-0.5642,-0.4823,-0.2376,0.1016,-0.4034,-0.1243,-0.3303,-0.4221,-0.2324,-0.704,2.5519,-0.4424,-0.8334,-0.6566,-0.5917,-0.0031,-0.3107,0.1806,-0.4291,-0.6336,0.0128,-0.1614,-0.5414,ALL
-0.698,-0.4795,-0.3609,-0.4503,0.3195,-0.2746,0.6899,-1.048,0.6061,-0.7278,0.5528,-0.7443,1.4777,-0.6001,-0.4491,-0.483,-0.7369,0.8421,1.4779,-0.7301,-0.6166,-0.5642,-0.0907,-0.4773,-0.4117,ALL
-0.5778,-0.4882,-0.6451,-0.5117,0.0737,1.8659,-0.1913,0.755,1.5428,0.3626,2.2064,-0.7922,0.9417,-0.6546,-0.1694,-0.6429,-0.625,1.918,0.2957,0.7403,-1.2993,-0.0864,0.1956,-0.0954,-0.8771,ALL
0.888,0.8901,2.2581,-0.2883,-0.8486,-1.0283,-0.712,-0.9914,-0.6934,1.6457,-0.7213,1.1315,-0.8986,-0.0662,0.9354,1.9618,1.6966,-0.6781,-0.7206,-0.8655,1.2944,1.2537,0.3878,0.5898,1.2425,AML
-0.1923,-0.5673,0.7956,-0.2975,-0.7433,-1.1591,-0.7309,-1.1148,-0.8373,0.0807,-0.7506,-0.0514,-0.8152,-0.0311,0.3195,0.7791,1.0339,-0.877,-1.1439,-1.3556,0.6167,-0.6747,-0.1498,2.0037,0.9357,AML
1.9791,0.8173,1.2088,2.4002,-1.0511,-0.7098,-0.9523,-0.6253,-0.6931,2.313,-0.7549,2.4581,-0.5883,3.1181,3.4207,1.8465,3.2307,-0.9605,-1.2889,-1.1032,1.1204,2.5427,4.1967,-0.2036,3.0519,AML
0.6972,1.4369,-0.0198,1.6481,-0.9762,-0.8893,-0.8754,-1.0987,-0.7434,1.6332,-0.7155,2.0449,-0.9017,1.1312,1.4999,0.2435,1.0673,-0.6125,-0.9475,-0.9167,1.7312,1.7763,2.573,-0.3641,1.4011,AML
0.1613,-0.0342,-0.3106,-0.2679,-0.8767,-0.6411,-0.8645,-1.2801,-0.7851,-0.6692,-0.764,0.0103,-0.5092,-0.1571,-0.2803,0.0253,-0.5034,-0.6016,-0.9781,-1.1508,1.1974,1.5808,-0.6319,0.3883,1.1082,AML
0.4763,-0.4848,-0.221,-0.3647,-0.7854,-0.72,-0.9483,-0.8134,-0.9181,1.4345,-0.7017,-0.122,-0.926,0.0461,0.4314,-0.4322,-0.0623,-0.8598,-0.9189,-0.3278,1.4919,0.7659,-0.5137,-0.456,0.3615,AML
1.1163,1.383,0.3015,0.6051,-0.872,-0.625,-0.8111,-0.662,-0.7434,1.7548,-0.7412,0.6666,-1.156,0.6414,-0.1764,0.6105,0.1808,-0.5621,-0.6615,-0.5582,1.02,-0.1166,1.9524,-0.1718,1.408,AML
2.7507,1.6107,1.5585,1.8555,-0.906,-0.9054,-0.834,-0.6337,-0.7068,2.441,-0.744,2.4165,-1.1286,2.2866,2.1122,0.9266,3.3943,-0.9363,-0.6596,-1.0593,1.7981,1.5433,0.8957,-0.4681,2.8817,AML
0.0913,0.891,2.0132,0.6505,-0.7527,-0.8186,-0.8575,-0.5678,-0.7154,0.7915,-0.701,0.3177,-0.7656,-0.1868,0.5841,1.8973,1.3502,-0.9464,-1.0047,-0.7228,0.866,1.2711,0.9235,1.2695,1.8688,AML
1.0873,-0.4389,0.7803,1.4905,-0.4132,-0.8217,-0.8462,-0.8087,-0.4292,-0.0374,-0.7097,2.3989,-0.4828,0.6365,1.5909,-0.483,0.6961,-0.8343,0.084,-0.1851,0.7974,2.1791,-0.0925,-0.4912,1.3965,AML
1.1926,0.088,0.0567,0.0603,-0.9645,-0.5064,-0.9413,-0.6527,-0.8194,1.7536,-0.6948,3.083,-0.678,2.0048,-0.0982,1.4039,-0.2388,-1.1791,-1.1973,-1.2093,2.7703,0.0068,0.8403,0.7678,0.0513,AML
0.3527,1.5656,2.4395,2.3974,-1.0359,-0.6968,-0.7952,-0.7136,-0.8376,0.9585,-0.7574,1.2197,-1.0864,1.1904,3.8112,0.4158,2.6982,-0.812,-0.5528,-0.518,-0.3957,1.2811,2.078,-0.405,-0.9118,AML
1.4136,5.0675,0.7693,2.9833,-0.7445,-0.8068,-0.7203,-1.0404,-0.7987,1.1778,-0.7614,0.94,-0.8342,1.291,1.0672,0.8386,0.1431,-1.0656,-0.9056,-0.8472,0.8309,1.4556,1.6402,0.9174,2.5923,AML
0.5395,2.3133,0.3846,-0.0893,-1.0699,-0.995,-0.821,-0.999,-0.8143,1.1461,-0.7459,1.6543,-0.8637,0.1584,-0.0821,0.8832,0.7456,-0.949,-1.0219,-1.191,0.5046,0.2342,2.6838,1.1039,1.1649,AML
2.5206,1.3904,1.1169,1.383,-0.968,-0.654,-1.0007,-0.6105,-0.7997,1.2498,-0.7788,2.4682,-0.6801,1.3331,1.1688,1.2713,1.1135,-0.9802,-0.856,-1.169,1.435,1.4282,1.3557,0.9385,1.2888,AML
1.7171,0.7586,0.4633,1.2267,-0.8685,-0.9781,-0.8963,-0.6333,-0.9073,1.2392,-0.7115,0.0997,-0.8479,3.0423,1.1527,0.1071,0.496,-0.4862,-0.4422,0.6781,1.2944,0.9102,0.4912,3.0335,-0.2844,AML
0.5121,2.3896,0.8961,-0.0197,-0.9692,-0.8897,-0.89,-1.1237,-0.8217,1.7884,-0.7426,-0.418,-0.9049,0.806,1.0763,0.8807,1.0285,-0.7265,-1.0734,-1.3483,0.1833,-0.1842,1.9838,1.0743,-0.7035,AML
0.8447,1.1943,0.5005,1.7959,-0.8849,-0.929,-0.7163,-1.1444,-0.8124,0.0887,-0.7314,0.3076,-1.2605,0.3003,0.321,1.1448,-0.7552,-0.7068,-0.8255,-0.7923,1.035,-0.3422,0.8145,1.7538,1.2309,AML
0.4182,0.5747,-0.1772,-0.1363,-0.659,-1.0166,-0.8436,-0.8354,-0.6963,2.2637,-0.7448,-0.4924,-0.7023,0.8322,-0.219,1.2539,0.1335,-0.3447,-0.4728,-0.924,-0.2635,0.0634,1.001,3.8441,-0.7011,AML
1.0241,0.1248,0.2381,-0.5211,-0.6766,-0.9278,-0.8399,-0.8941,-0.7676,-0.7684,-0.7383,-0.3614,-0.9408,0.2872,-0.0964,3.235,0.9963,-0.5666,-0.5643,-0.6899,0.3774,0.6727,-0.6633,4.0211,-0.3539,AML
0.4592,0.8439,0.3125,1.5558,-0.7597,-1.0448,-0.8479,-1.0624,-0.892,0.5473,-0.7929,-0.0754,-0.9893,0.2955,-0.3181,1.2316,0.1066,-0.6781,-0.6939,-0.7009,-0.7153,0.701,0.1107,2.2567,1.1811,AML
-0.481,-0.5325,-0.1663,-0.1951,-0.5806,-0.8956,-0.7412,-0.3564,-0.7586,-0.0115,-0.6847,-0.3979,-0.8532,-0.133,-0.4638,-0.4879,-0.5131,-0.3237,-0.6749,-0.5984,-0.4827,-0.8254,-0.7723,-0.4882,-0.641,AML
2.5975,1.7671,3.2047,2.6994,-0.9025,-0.7715,-0.8313,-0.7077,-0.8042,0.5767,-0.693,2.4064,-0.3425,3.2518,1.1659,2.7404,1.6353,-0.8776,-1.1039,-1.1544,0.7338,2.4212,1.0694,0.4192,1.3583,AML
1.5867,0.2878,3.9064,0.0009,-0.6719,-1.1348,-0.593,-0.9051,-0.8465,0.9393,-0.6872,0.911,-0.1726,0.3658,3.0878,1.0642,1.9311,-1.1472,-0.7416,-1.2385,3.6522,0.8582,0.2954,0.1025,2.1547,AML
3.2718,1.0089,2.5969,3.4401,-0.8147,-0.4553,-0.3703,-1.0176,-0.8548,0.6203,-0.7603,1.3369,-0.8289,1.7202,1.5726,0.6997,2.0194,-0.6807,-0.5757,-1.0813,0.431,2.2677,0.0479,-0.1074,-0.3458,AML
