U07804_s_at,J04093_s_at,L13943_at,L36151_at,L77561_at,X64624_s_at,S68134_s_at,U30245_at,U06233_at,X07767_at,L13740_at,K03430_at,L37347_at,X02910_at,L37882_at,L24564_at,U89336_cds6_at,X64177_f_at,U49436_at,U39573_at,X77166_at,D14822_at,D63882_s_at,HG1205-HT1205_at,X96719_at,D16181_at,HG3954-HT4224_s_at,U79260_at,Z70759_at,D88795_at,U61538_at,D86974_at,L40392_at,L24774_s_at,U03397_s_at,D25538_at,M61764_at,M38258_at,U35048_at,L22342_at,AFFX-HUMISGF3A/M97935_MB_at,X65784_s_at,M99063_at,HG2868-HT3012_s_at,X56807_at,M80359_at,S68271_s_at,D26561_cds1_at,X13916_at,L48546_at,U92971_at,U34038_at,D31784_at,U20499_at,U40705_at,Z19574_rna1_at,U18985_at,M93415_at,X69978_at,HG3995-HT4265_at,X04470_s_at,U73704_at,L37368_at,D31891_at,X73460_at,M21642_s_at,AFFX-HUMGAPDH/M33197_M_st,X52773_at,X94754_at,HG1078-HT1078_at,M62397_at,M25756_at,AFFX-HUMISGF3A/M97935_3_at,U79263_at,L08044_s_at,D11151_at,Z22548_at,U51587_at,HG3570-HT3773_at,M29960_at,X84003_at,X87237_at,Z24724_at,HG2709-HT2805_at,J04046_s_at,HG1428-HT1428_s_at,U30998_at,U29607_at,L10333_s_at,HG1116-HT1116_at,D87460_at,L19871_at,M62324_at,D84110_at,X78342_at,HG1327-HT1327_s_at,Y09321_at,M93221_at,U66033_at,AB000584_at,class
-0.0684,-0.2059,-0.8391,0.4765,-0.6296,-0.4047,0.2137,-0.2758,-0.2864,0.2693,-0.4733,0.2459,-0.1073,0.522,-0.3304,0.1704,-0.2899,-0.1366,0.4738,-0.02,0.7481,-0.1475,1.1379,-0.7395,0.5304,-0.9752,1.9999,-0.6424,-0.7349,-0.6531,0.3701,-0.503,-0.0892,-0.0365,-1.4958,-0.3316,-0.1121,0.2054,0.9355,-0.7966,-0.4781,0.196,-0.7556,-1.1471,-0.3267,0.9313,0.9248,-0.0245,0.992,-1.1305,0.2619,-0.3354,0.3115,-0.3351,-0.2048,0.267,0.286,-0.6611,-0.1222,-0.0387,-0.4922,-0.5705,1.012,-0.5978,0.3984,-0.4346,1.1025,1.1919,0.4189,-0.3117,-0.6288,0.8824,-0.6496,0.7754,0.7921,-0.5009,0.3833,-0.8598,-0.7792,1.0766,-0.4025,-0.9637,-0.5896,-0.9211,0.2101,-0.0941,-0.0006,-0.2796,-0.0297,0.1385,-0.7728,0.5949,0.6895,0.0436,-0.6126,-0.4028,0.4775,-0.0003,-0.2812,0.1124,ALL
-0.0362,0.3054,-0.2007,-1.0805,-0.2728,-0.49,0.1052,0.1796,-0.9313,-0.4814,0.2722,-0.622,0.065,0.0474,-0.115,0.1644,-0.443,1.2921,-0.7819,-1.2773,-0.0479,-0.2438,-0.259,0.0347,1.1895,0.6302,-0.7288,-1.0222,0.3458,0.6389,-0.0135,-0.9752,-0.7257,-1.0203,-1.0333,-0.4398,-1.0747,-0.6741,-0.3661,-1.1899,-0.7292,-1.3255,-0.6817,-0.6727,0.3606,-0.0848,0.1656,-0.5038,-0.1522,-1.8831,0.0545,0.3335,-0.3602,-0.5255,0.7171,0.0299,-0.4639,-0.6112,-0.7002,0.0617,0.0685,-1.093,-0.9361,-0.9476,-0.0411,-0.9591,-0.1053,0.4367,-1.0664,-0.4892,-0.316,0.6483,-0.8412,-0.9995,-0.6163,-0.4457,-0.462,0.1925,-0.133,0.1488,1.2777,-1.0325,-0.5896,-0.9367,0.4022,-0.7224,-0.7946,-0.4651,-0.3423,-0.2461,-0.5507,0.0508,-0.36,-0.3952,0.275,0.6897,-1.0556,-0.5836,0.3413,0.2176,ALL
-0.0362,0.7031,1.2631,0.5484,-0.7615,2.0936,0.0586,-0.4781,-0.1156,1.5607,0.0659,-0.1495,0.0486,-0.1593,-0.251,0.4788,0.0727,-0.2351,0.5599,0.2314,0.6033,0.0934,0.0203,-0.9059,-0.2542,-0.765,-0.25,-0.096,-0.7587,-0.6667,-4.0515,-0.2579,0.7266,-0.3296,-0.2124,0.7262,0.8833,0.0581,0.8313,-0.1371,0.1437,0.2533,0.0522,-0.2272,-0.55,0.2472,-0.0242,-1.0335,-0.125,-0.0156,-0.9609,-1.0095,0.4924,0.09,0.2588,0.0299,-0.4014,-0.0625,-0.4525,-0.1962,0.7223,1.9241,1.1406,0.194,-0.2937,0.2584,-0.7019,0.7564,-1.0806,0.0111,-0.2769,-0.198,0.2108,0.0311,-0.3181,-0.869,-0.2627,0.1489,-0.2606,-0.305,0.3476,0.1344,0.6813,-0.2901,1.528,-0.2189,0.6028,0.0789,-0.3716,-0.6652,-0.589,-0.2968,0.2407,0.1947,0.1722,0.1617,0.3753,1.404,0.1399,-1.8991,ALL
0.0819,0.3054,0.8427,0.1046,0.0336,-0.4269,0.1052,-0.554,0.1689,0.1124,-0.3467,0.1175,0.5657,-0.4446,0.5424,-0.2774,-0.0401,-0.1934,-0.549,-0.4443,0.8101,1.3699,0.4502,0.329,-0.1641,-1.3192,-0.8679,0.6611,-0.6982,-0.8027,-0.0337,0.3831,0.4226,-0.3377,2.0653,2.3932,-0.4899,-0.5544,0.0378,0.4931,0.0759,-0.4789,-0.0413,0.2653,1.1511,0.3632,0.0441,-0.201,-0.1413,-0.1874,-0.2955,0.4118,-0.4119,0.7665,0.7432,0.2225,1.4422,-0.5239,0.6952,0.3423,-0.721,-0.4693,0.1121,1.2102,0.1373,1.7755,0.8874,1.4996,0.2735,0.5624,1.2675,0.3962,1.4074,-0.2266,0.1387,-1.1266,-0.2225,-1.127,0.4583,0.8649,1.2777,0.9244,0.7896,1.3691,-0.317,0.1314,-0.5405,0.717,-0.0199,0.7401,-0.8781,-0.3223,-0.8865,-0.0931,0.2283,0.3255,0.8352,-0.1815,0.5244,0.4017,ALL
0.8763,-0.6414,0.7492,0.6787,-0.8352,-0.5907,-0.0809,0.1543,-0.3622,0.2596,-0.4861,-0.3344,0.0979,-0.6542,1.0865,0.3335,-0.1529,-0.2513,0.6308,0.4148,0.7687,0.6232,0.9445,-0.7331,0.7507,-0.1534,-0.2912,-0.3536,-0.5706,-1.3739,-0.0135,1.0432,0.1109,1.9673,0.3079,0.1813,0.8735,-0.3288,0.1234,0.3856,2.4315,0.2292,-1.056,-0.4156,-0.0517,0.2352,-0.1836,-1.2857,0.1584,0.0442,-0.7449,-0.3511,-1.3679,0.8201,0.3213,1.1265,-0.8388,-0.5863,0.0512,-0.146,0.4733,-0.1491,-0.156,1.085,0.5718,-0.5658,-0.1493,0.4327,0.7627,-0.4625,-0.9611,-0.5221,1.7268,0.3889,0.9126,-0.3353,-0.5748,-0.0856,-0.0505,1.2784,0.5576,-0.1555,0.9413,0.9952,0.8489,-1.5176,-1.0328,0.2498,-0.0004,-0.0538,-1.2859,-0.3696,0.2796,-0.6253,0.7141,0.016,0.0249,-0.3514,-0.1897,0.1466,ALL
0.6723,-0.9444,0.3288,-0.4832,0.1577,-0.5668,0.3533,-0.4781,-0.5709,-0.3728,-0.3751,-0.0211,-0.7065,-0.4155,-0.5968,0.0636,-0.1368,-0.2212,-0.2047,-0.3553,0.3553,-0.3401,-1.7205,-0.426,-0.217,-0.0387,-0.3272,0.0497,-0.4747,0.1085,0.4609,0.7581,0.194,-0.7473,0.4929,-0.3357,-0.4538,1.329,-0.2819,0.1267,-0.2071,0.6208,1.1704,0.0371,-0.9281,0.8113,0.0289,-0.0245,-0.1686,1.4728,0.3699,0.1349,0.2082,0.2046,-0.2153,0.3954,-0.6826,0.7232,0.8273,0.6435,-1.0403,0.0026,-0.8031,0.1443,1.1649,-1.1838,0.1783,-0.4903,0.2204,0.0718,-0.5506,0.0541,-0.0396,0.2744,0.5066,-0.1329,-0.5316,0.3179,-0.4846,0.2597,-0.8526,-0.0903,-0.1563,0.0916,-0.6834,-0.2793,-0.2547,0.2454,0.0876,0.4935,0.1711,-0.4824,0.7107,0.4608,0.1255,-1.0583,-0.4423,0.2998,-0.0798,-0.2531,ALL
-0.1113,0.419,1.232,1.1403,-0.044,-0.0941,-0.6548,-1.1611,1.1933,-0.2473,-0.0564,0.6156,1.764,-0.8056,1.2452,-1.1493,1.5554,-2.1697,0.3118,-0.6015,-0.7508,0.4306,0.7296,0.8537,-0.453,-0.6121,-0.0647,2.0087,-1.184,-1.1019,0.2792,0.9188,0.8591,0.1723,1.3138,0.6902,-0.8677,0.2008,0.2347,1.9954,0.3948,2.528,2.2589,0.6129,-0.4298,-0.9248,-0.3355,1.4134,0.6596,1.3029,-0.9825,1.2636,-0.6186,0.7554,-0.0954,-0.963,-1.3388,-0.0999,1.6778,-0.2669,-1.5985,-0.0311,0.7985,2.1225,0.4632,0.4831,-0.6334,-0.5862,1.0534,-0.4981,-0.1987,-0.3241,0.2629,1.3765,-0.0897,0.364,-0.8762,1.5447,0.6724,-0.2849,1.4877,2.4972,1.8728,-0.9133,0.5228,0.2978,0.8886,0.5303,2.7252,1.3564,0.1099,-0.7135,-0.9854,-0.539,0.5927,-0.4939,3.3466,-0.6968,-1.1784,-0.6606,ALL
0.1893,-0.2438,-0.0761,-1.5013,-0.4086,-0.2835,0.3533,0.1796,-0.2294,-0.4645,-0.7549,-0.242,0.418,0.0416,-0.1887,-0.0283,-0.4108,0.1192,-1.1464,-0.2767,0.469,1.0086,0.4502,-0.5924,-0.4011,-0.1152,0.7231,-0.2417,-0.5907,0.1357,-0.5688,-0.5746,-0.801,0.8831,0.0882,-0.512,0.8143,0.4955,-0.6958,-0.2031,-0.3506,-0.973,0.5251,-0.4771,-0.4298,-0.4008,0.7577,0.3539,0.2564,-1.4237,0.236,-0.837,0.9058,-0.6789,-0.3871,0.025,-0.3389,0.6608,-0.8405,0.0868,-0.0723,-0.7222,-1.167,-0.5364,1.3355,-0.1912,0.9021,-0.1027,-0.6198,-0.0058,-0.1401,1.0444,-0.216,-0.1264,-0.4006,-0.4457,0.024,-0.0202,0.584,-0.1537,-0.4025,0.051,-0.6329,-0.3291,-0.3595,-1.683,0.6346,-0.3354,-0.4497,-0.4828,-0.432,-0.315,1.1524,-0.5894,-0.6499,-0.5485,0.6381,-0.6062,0.6709,-0.3872,ALL
0.3288,-0.0165,-0.5277,-0.9732,-0.6452,1.6005,-1.4302,0.5084,-0.1156,-0.6311,0.4827,-0.3601,-0.6326,-0.4184,-0.7951,0.9681,-0.2335,1.886,-0.8224,0.551,0.3139,0.3342,0.4717,-0.33,-0.0514,-0.1916,0.0846,0.0939,-0.7111,-1.0475,-0.2356,1.3186,0.394,-0.0003,-0.883,-0.6402,-0.0793,0.4541,0.406,-0.1811,-0.1593,-0.3282,-0.2778,-0.937,-0.2579,0.3632,-0.1609,0.7575,-0.6971,0.061,-0.0017,0.067,-1.4196,-0.0394,-0.4549,-0.222,-0.0577,-0.3119,-0.8488,-0.4381,-0.2935,-0.8401,-0.9491,-0.7254,0.6667,-0.9591,-1.0931,-0.4224,-0.6091,-0.7898,0.4073,-0.036,-0.4748,-0.4413,0.4939,0.7689,-0.19,0.0344,-0.3039,0.3001,-0.6425,0.0148,-0.1924,-1.0379,-0.3595,0.0147,-0.5246,-0.6438,0.0192,-0.7786,1.879,-0.153,0.3467,-0.5534,-0.1454,0.9264,-0.216,0.0166,0.085,-0.466,ALL
1.3379,-0.187,-0.3408,1.6819,0.1655,0.0544,0.7565,-0.1746,-0.3812,0.6072,-0.5458,0.8211,-0.3454,-0.3339,1.1375,-0.7608,1.6198,-0.3242,0.2358,0.991,-1.5365,0.0934,-0.1946,0.6618,-0.1161,0.8596,-0.8524,1.4051,-1.3731,0.0405,-0.5284,0.7667,4.0416,-0.2975,0.0651,0.5619,0.0719,1.085,-0.0464,1.3603,1.1242,2.9256,1.3132,1.0692,-0.3095,2.3194,-0.1836,-0.2263,0.5834,2.711,-0.6498,-0.4608,-0.5411,0.6131,0.7224,1.25,-1.1201,0.5611,1.5457,-0.9903,-1.7669,1.5196,0.4977,2.3919,0.0987,0.0523,0.2272,-0.7181,0.5571,1.9279,-0.0619,-1.4224,3.646,1.1475,0.754,0.0696,0.8964,0.9449,-0.7007,1.2078,1.2177,1.0549,2.696,1.5093,0.7976,-0.8371,1.1586,1.6531,-0.1078,1.0359,2.3596,0.7132,-0.4059,1.288,1.256,-0.1297,-0.9899,-0.2382,-0.5009,-1.3259,ALL
-0.4226,0.6273,-1.0104,-0.1126,-0.2107,-0.3637,-0.5307,-1.6418,0.2448,-0.3462,-0.661,-0.6322,1.132,-0.465,0.6104,0.8079,-1.1683,-0.1841,-0.5135,-0.392,-0.5544,0.3342,0.2353,-0.1381,-0.691,0.1142,-0.1162,-0.1168,-0.6893,0.1901,0.0975,-1.121,0.1394,0.8028,-0.0158,-0.544,0.3971,-0.7432,0.005,-0.738,-0.3705,-0.9398,-0.4403,-1.1833,-0.3782,0.3032,0.2946,0.0764,0.4362,-0.0081,-0.0579,-1.1192,-1.1354,0.3802,0.0556,0.3707,0.3173,0.0622,1.6612,-0.2167,0.3175,-1.2615,0.9074,-0.8932,-1.4944,2.1876,-0.2373,-0.1946,-1.4776,0.5195,-0.6288,-1.0443,-0.4177,-0.5272,-1.4093,-0.1329,-0.1244,0.0834,1.2735,0.9052,-0.3125,-0.8441,0.5875,0.1383,-0.6275,0.5995,-1.5568,0.7328,-0.9772,-0.8033,-0.7364,-0.3714,-0.572,-1.6971,1.0598,0.3984,-0.1284,-0.3458,0.5061,-0.1742,ALL
-0.3045,-0.471,1.2943,-0.4615,-0.0983,-0.4969,-0.5617,-1.0094,0.3966,-0.7107,0.5411,-0.093,0.2702,-0.2524,-0.6478,0.5499,-0.7089,0.6669,-0.1439,0.1005,-0.265,-0.1716,0.5147,0.6362,-0.6812,-0.4018,-0.9708,0.0835,0.0673,0.8157,-0.165,-0.7147,-0.7802,-1.0886,-0.0968,-1.097,-0.9268,0.5876,-0.5131,-0.8137,-1.076,-0.6385,-0.6817,0.5477,-0.4985,-0.5448,-0.4114,0.2026,-0.1686,0.6269,0.2965,0.9762,0.3632,-0.215,-0.4184,-0.222,0.2236,-0.0001,-0.4359,0.963,-0.2005,0.3566,0.3125,-0.5364,-0.1607,-1.3337,0.9021,0.8443,-1.2507,0.0798,-0.2769,-0.7382,-0.8395,0.0024,-0.8574,0.088,-0.265,-0.6417,-0.8264,0.0177,-1.0926,-1.0434,-0.113,-0.703,-1.1256,0.6307,0.6346,0.0029,0.3416,-0.892,0.0716,-0.5479,1.4245,0.0004,-0.3697,-0.1115,-0.0919,-0.4987,0.4695,0.7224,ALL
