X02152_at,M14328_s_at,J03909_at,X56494_at,L17131_rna1_at,M57710_at,HG1980-HT2023_at,M63138_at,HG417-HT417_s_at,HG2279-HT2375_at,class
-1.1031,-0.85,-0.7873,-0.9676,-0.3353,-0.9294,-0.8554,-0.0111,-0.7348,-1.1025,DLBCL
2.2469,0.8663,2.3059,1.7199,0.5218,2.6456,0.6267,0.6626,1.8809,1.864,DLBCL
0.8278,-0.8377,-0.5086,-1.0609,-0.7427,-0.8478,0.2045,-0.8628,-0.4993,-0.0338,DLBCL
-0.014,0.6475,0.2789,-0.5779,0.6937,-0.7618,0.3675,-0.825,-0.2299,0.0587,DLBCL
0.1614,-0.013,1.3804,-0.055,-0.1719,0.8749,-0.4892,1.2397,1.4338,0.5371,DLBCL
-1.164,-1.7172,-0.9714,-1.3491,-1.4392,-0.6227,-0.8116,-0.7014,-0.7067,-1.0727,DLBCL
-0.3465,-1.1343,-0.5159,-0.4197,-0.7957,-0.9224,-0.1828,-0.3924,-0.6846,-0.4857,DLBCL
0.0493,-0.2303,0.1565,-0.381,-0.0337,-0.7813,0.2091,-0.4409,-0.1489,-0.2415,DLBCL
-1.2779,-1.3769,-1.1925,-1.0335,-1.2768,-1.0933,-1.0922,-0.923,-1.1105,-1.1433,DLBCL
0.4204,0.7616,-0.2436,-0.1471,0.8659,0.0728,-0.0576,0.2472,0.9962,0.5672,DLBCL
1.6888,0.8997,1.3755,1.319,1.0002,1.5855,0.4721,0.3643,0.9905,1.2533,DLBCL
1.0674,0.984,0.0238,0.3132,0.4106,-0.0598,-0.5671,0.2783,1.0583,0.716,DLBCL
2.0189,0.4703,1.5542,1.7554,1.3178,-0.2505,2.3353,-0.2433,-0.4858,2.3841,DLBCL
0.842,0.7811,1.9975,1.4449,0.1248,1.4724,0.7022,1.5947,1.7803,0.9371,DLBCL
-0.4399,-0.3272,-0.4921,-0.5118,0.5392,-1.0328,0.3589,-0.6271,-0.7005,0.2711,DLBCL
-0.3178,0.7607,1.3672,-0.0483,-0.5668,1.6805,-0.5514,2.6345,2.1948,-0.1263,DLBCL
0.4362,0.7629,-0.3936,0.3097,1.3592,-0.1719,1.8518,-0.2672,-0.1591,0.2848,DLBCL
0.0628,1.1128,0.5451,1.505,0.7609,0.0666,3.0831,-0.1594,-0.1534,0.9269,DLBCL
-0.9702,-0.2671,0.8457,0.0171,-0.7427,-0.1068,-0.4007,1.3611,0.8918,-0.6313,DLBCL
-0.3607,-0.4092,-0.5896,-0.7518,0.2366,-0.6064,-0.9205,-0.3429,-0.2326,-0.4291,DLBCL
-0.2726,0.2931,0.1984,0.1008,0.2513,0.5318,-0.714,1.2411,1.019,-0.2404,DLBCL
0.656,0.6294,0.9525,0.8854,1.7483,-0.2326,-0.222,1.0519,0.9834,0.601,DLBCL
0.8577,-0.0465,-0.0374,0.1692,-0.4218,1.0642,-0.5226,-0.3211,-0.3995,0.1296,DLBCL
-0.4772,0.7233,0.0221,0.5437,0.7587,0.2809,0.8008,1.3742,0.7021,-0.8069,DLBCL
1.3163,-0.2214,-0.0098,-0.3258,-0.6076,-0.1268,-0.6224,-0.6219,-0.3605,0.309,DLBCL
1.9864,0.8597,1.1007,1.6184,1.1938,0.8497,1.2307,-0.2498,1.0514,2.2094,DLBCL
-0.325,-0.389,-1.0804,-0.164,-0.2592,-0.6875,-0.3533,-0.9499,-0.6471,-1.3884,DLBCL
0.7131,1.772,-1.0065,-0.2465,0.493,-0.62,0.2471,-0.3304,0.1216,1.0094,DLBCL
0.412,0.8402,1.1761,0.8154,0.5466,0.9628,0.1451,1.13,-0.1175,2.2356,DLBCL
0.3012,1.2217,0.1828,-0.0854,-0.2236,-0.5166,-0.1566,0.3842,0.1118,-0.1978,DLBCL
0.7848,1.4548,0.7828,0.1794,0.2969,0.6481,0.4428,0.1188,1.0559,0.0488,DLBCL
0.9729,-0.7272,0.6229,0.9255,-0.2548,-0.758,1.7049,-0.5558,0.0662,0.9517,DLBCL
0.1864,0.4057,0.3259,-0.3015,-0.4175,-0.3061,-0.2283,-0.5519,0.6749,0.5164,DLBCL
-0.7166,0.7512,-1.3493,-0.4798,2.2639,-1.1169,-0.8907,-0.7662,-0.9046,-0.2299,DLBCL
1.5609,1.0539,0.1738,0.4203,0.4294,-0.5185,0.2105,1.0581,0.4883,0.6486,DLBCL
-0.874,-1.6123,-0.9048,-1.0143,-0.6641,-0.4322,-0.7787,-1.116,-0.6271,-0.8588,DLBCL
-0.6596,0.0376,-0.0659,-0.468,-0.4996,-0.336,-0.4949,-0.1671,-0.4147,-0.7681,DLBCL
0.9794,0.735,1.6734,0.3352,1.0119,1.0406,-0.5671,1.8669,2.3132,-0.2097,DLBCL
-1.0103,-0.8749,-1.0428,-0.5239,-0.8273,-0.8931,-1.0609,-0.516,-0.6685,-0.9624,FL
-1.1358,-1.2995,-0.7849,-1.174,-1.0987,-0.9753,-0.7176,-1.2844,-1.0314,-1.0345,FL
-1.3447,-1.5118,-1.0652,-1.1508,-1.3073,-0.5812,-0.807,-0.6211,-1.1533,-1.3049,FL
-1.2473,-1.2902,-1.2459,-1.187,-1.1675,-1.0822,-1.2059,-0.9434,-1.1817,-0.8664,FL
-1.2893,-1.7671,-1.0984,-0.9238,-1.1841,-0.9989,-1.0816,-1.5616,-1.1868,-0.8011,FL
-1.1946,-1.7448,-1.1594,-1.2301,-1.2366,-0.9029,-1.1263,-0.8408,-1.3764,-0.9254,FL
-1.3427,-1.15,-0.9526,-1.0541,-1.186,-0.9251,-0.909,-0.3119,-0.4913,-1.3761,FL
-0.7849,-0.3414,-0.9638,-0.8696,-0.8896,-0.6905,-0.8595,-0.9006,-0.7893,0.0202,FL
-0.7157,-0.4156,-0.6564,-0.8888,-1.1626,-0.6045,-0.8191,-0.783,-0.5118,-0.9893,FL
-0.8182,-0.8205,-0.5286,-0.4399,-0.1578,-0.7583,-0.6176,-0.7575,-0.8773,-0.7372,FL
-0.7993,-0.3941,-0.5474,-0.8443,-0.5246,-0.7312,-0.5548,-0.6978,-0.5348,-0.2389,FL
-0.402,-0.3119,-0.9173,-0.4858,-0.2083,-0.8654,-0.3519,-0.7501,-0.8628,-0.4495,FL
-1.3317,-1.56,-0.9677,-1.1228,-1.1912,-0.7708,-1.0004,-1.3187,-1.0064,-1.4557,FL
-0.8796,-0.4869,-0.5964,-0.4288,-0.5222,-0.9067,-0.7825,-0.8301,-0.7305,-0.8066,FL
-1.0762,-1.4793,-0.9765,-1.2208,-1.0609,-0.8643,-0.9441,-1.0169,-0.7314,-1.4085,FL
-1.4631,-1.3856,-0.9843,-1.0991,-1.558,-0.9962,-0.9112,-0.8544,-1.077,-1.4108,FL
-0.8531,-1.4194,-0.9248,-0.973,-1.1289,-0.7472,-0.8546,-0.8212,-0.5522,-0.7877,FL
-1.1679,-1.349,-0.7875,-1.2044,-1.0854,-0.8996,-0.9311,-1.1388,-0.8126,-1.0511,FL
-1.4614,-1.786,-1.2849,-1.3804,-1.3875,-1.1475,-1.0992,-1.2139,-1.276,-1.3682,FL
