35590_s_at,725_i_at,41117_s_at,37905_r_at,37226_at,34457_at,33069_f_at,39332_at,33021_at,33870_at,class
-0.4991,-0.31462,-0.2457,1.04499,-0.65023,-0.30821,0.65358,-0.02656,-0.58512,-0.18777,after Th
-1.06323,-0.63827,-0.81274,-0.79554,-0.84923,-0.76691,-0.66162,-0.76041,-0.6536,-0.93386,after Th
0.01092,-0.52789,-0.32216,0.25033,0.09785,-0.04412,0.03533,-0.48197,-0.38468,0.3617,after Th
-0.90042,-0.64014,-0.77887,-0.78869,-0.53651,-0.93448,-0.63194,-0.80939,-0.66805,-0.80902,after Th
0.03241,-0.21289,-0.40169,-0.72453,-0.04918,0.19501,-0.12067,0.63283,0.36073,-0.05036,after Th
-0.81508,-0.57886,-0.71192,-0.84168,-0.9132,-0.72103,-0.50702,-0.82569,-0.40464,-0.7222,after Th
-0.90156,-0.65266,-0.79751,-0.80765,-0.76112,-0.7939,-0.70432,-0.75507,-0.68422,-0.814,after Th
-0.83862,-0.61956,-0.80881,-0.87929,-0.91885,-0.81817,-0.65338,-0.76348,-0.66581,-0.95884,after Th
-0.7259,-0.20185,-0.43871,-0.59715,-0.60099,-0.65168,-0.73521,-0.61322,-0.33677,-0.76499,after Th
-0.83571,-0.64254,-0.76825,-0.95519,-0.72764,-0.66814,-0.65434,-0.72421,-0.66298,-0.7809,after Th
-0.82162,-0.6332,-0.73129,-0.70808,-0.55937,-0.69213,-0.70534,-0.78456,-0.50348,-0.76677,after Th
0.345,-0.57756,0.5616,-0.13197,0.14726,0.237,0.57762,0.08148,-0.45299,0.37563,after Th
0.23653,-0.63312,-0.04654,0.23755,0.12336,0.18266,-0.75979,0.19849,-0.0423,0.76805,after Th
-0.89695,-0.60225,-0.83271,-0.85591,-0.61589,-0.96558,-0.74619,-0.70095,-0.45084,-0.82877,after Th
-0.90914,-0.64254,-0.69966,-0.93895,-0.6355,-0.8496,-0.692,-0.71143,-0.52533,-0.87904,after Th
-0.92257,-0.62824,-0.68159,-0.89299,-0.67095,-0.79156,-0.68626,-0.77178,-0.6505,-0.91045,after Th
-0.87044,-0.62561,-0.69405,-0.92547,-0.8065,-0.81447,-0.73106,-0.78771,-0.58753,-0.86532,after Th
-0.87501,-0.61593,-0.81249,-0.96329,-0.81164,-0.86966,-0.74619,-0.78775,-0.68655,-0.87809,after Th
-0.89263,-0.64751,-0.70002,-0.93152,-0.70383,-0.79993,-0.72175,-0.76191,-0.57962,-0.64784,after Th
-0.92434,-0.6107,-0.74616,-0.88347,-0.66966,-0.84169,-0.7984,-0.8081,-0.66409,-0.89899,after Th
-0.0459,-0.26617,-0.37663,-0.36569,-0.7755,0.01411,-0.07248,0.42112,-0.51355,0.25299,after Th
-0.86915,-0.63791,-0.74998,-0.90125,-0.73098,-0.78183,-0.69813,-0.72672,-0.64233,-0.80206,after Th
0.56165,1.24842,0.6829,1.15137,4.22269,1.25098,0.24769,-0.22399,2.64945,1.66166,before Th
0.46544,0.93759,1.0939,1.68823,-0.11169,2.07002,2.85996,2.40975,4.32851,2.90941,before Th
0.14683,1.2366,0.91168,1.34985,0.60898,0.72475,0.38505,0.43427,0.08399,0.29493,before Th
2.45677,4.67299,2.12892,1.99676,1.20968,2.98961,3.34602,2.74535,3.40596,1.64705,before Th
0.62597,-0.23868,-0.05756,0.56099,0.78443,0.09698,0.36182,0.41077,1.00145,0.90855,before Th
0.27776,1.18538,1.36051,1.44746,1.4199,0.41411,1.07958,0.85747,2.71096,1.6139,before Th
1.4197,0.21019,0.05743,-0.00685,0.79,0.08941,0.24839,-0.12517,0.16683,0.27184,before Th
-0.80878,-0.62218,-0.69614,-0.82047,-0.54404,-0.61997,-0.64617,-0.70277,-0.63398,-0.76148,before Th
1.0895,-0.09188,0.70131,1.29641,-0.27182,0.79714,1.83723,1.0257,1.2505,1.42481,before Th
1.03182,-0.1021,-0.3606,0.34493,1.43549,0.3231,0.24214,0.28028,0.51403,0.81586,before Th
2.027,1.82744,1.71758,1.15366,1.73151,0.43661,0.37816,1.1974,0.44039,1.24112,before Th
-0.82055,-0.56461,-0.72158,-0.85883,-0.8953,-0.79909,-0.66819,-0.69492,-0.53265,-0.77933,before Th
1.55011,0.10966,3.65543,2.08639,1.34352,3.89246,2.32207,2.24885,1.45068,1.92851,before Th
-0.88203,-0.60804,-0.8333,-0.87449,-0.77867,-0.71121,-0.644,-0.70856,-0.65282,-0.80112,before Th
-0.56142,-0.39559,-0.69838,-0.58028,-0.66093,-0.65981,-0.6906,-0.6912,-0.29487,-0.63816,before Th
1.74187,0.16405,1.35377,1.24401,2.25909,1.45951,0.71773,0.31709,1.11561,1.31563,before Th
1.36033,0.65816,0.5377,0.12007,1.28957,0.81407,0.05863,0.56867,0.35454,0.44522,before Th
-0.07581,-0.51833,-0.47045,0.00768,0.60632,0.66189,0.4386,0.10655,0.01026,0.37463,before Th
0.87755,-0.06491,-0.03128,0.73684,0.75703,-0.11923,0.6202,0.53482,-0.45299,0.33504,before Th
-0.9286,-0.55245,-0.77202,-0.85174,-0.64757,-0.61833,-0.6994,-0.70847,-0.66005,-0.8793,before Th
2.42163,0.94084,2.06653,2.78645,1.21182,2.12492,0.95734,0.75288,0.66802,1.33176,before Th
0.94323,1.22986,1.73679,0.42868,1.02797,0.64463,0.01427,0.1847,0.05689,0.65845,before Th
1.68385,0.53435,0.66528,1.5707,1.42102,1.80732,1.69846,0.94407,0.99406,0.8079,before Th
-0.41349,-0.44613,-0.57165,-0.63973,-0.50637,-0.53008,-0.57526,-0.29222,-0.53204,-0.62355,before Th
2.10804,-0.3565,0.5774,1.09033,0.00605,1.07307,0.00948,0.42508,0.24193,0.05641,before Th
0.36819,-0.27723,-0.07554,0.42405,0.01401,0.13164,-0.12635,-0.13448,-0.21822,0.06175,before Th
-0.93964,-0.58401,-0.76822,-0.73392,-0.7487,-0.83879,-0.79036,-0.67705,-0.50933,-0.72414,before Th
-0.58828,-0.07821,-0.47694,-0.52797,-0.37852,-0.80372,-0.42283,-0.24712,-0.52757,-0.63234,before Th
-0.67355,-0.62667,-0.69609,-0.76586,-0.78218,-0.5428,-0.72462,-0.71948,-0.57833,-0.69932,before Th
1.79058,2.05791,0.55693,1.16773,2.11634,0.77427,0.29678,0.79199,-0.21031,1.30264,before Th
1.30646,0.06642,2.40573,0.37027,0.32511,0.75262,0.40458,1.24129,0.47429,0.22948,before Th
-0.79368,-0.33209,-0.60572,-0.48192,-0.77773,-0.81064,-0.68626,-0.55113,-0.53187,-0.67497,before Th
0.66987,-0.38397,-0.04051,1.5396,1.05905,0.96653,0.73228,-0.13476,-0.4683,0.02478,before Th
-0.57797,0.42738,-0.35943,-0.69772,-0.52375,-0.64957,-0.50868,-0.30363,-0.0977,-0.58333,before Th
0.87589,0.08858,0.04567,0.57117,0.91074,0.18014,-0.09667,-0.59558,0.02454,0.1204,before Th
0.18952,1.8836,1.67346,0.73158,1.02095,0.50265,0.96851,0.7136,1.04911,1.38245,before Th
0.96116,2.66743,3.04885,2.29748,0.37854,2.2382,1.6317,2.29917,3.16449,1.90809,before Th
1.70555,0.89731,1.38116,1.47376,2.10255,2.24077,1.40791,2.48288,1.86292,3.85962,before Th
1.32536,0.22893,2.17933,1.81064,0.35286,0.79307,1.13932,1.06793,-0.08419,1.31458,before Th
1.13471,2.22723,2.02716,2.10155,1.66806,0.90831,-0.03533,0.88324,1.76296,0.81507,before Th
1.29829,1.00552,0.41458,0.86972,0.87212,0.51499,1.13798,0.16391,0.30473,0.54424,before Th
1.42108,3.3411,1.82413,1.45267,0.79831,1.75158,1.34255,2.30487,1.66893,0.77784,before Th
2.40827,2.71045,0.81655,0.5986,1.41639,0.77806,-0.47351,1.8493,2.36961,2.27658,before Th
0.97618,2.95916,1.81665,0.99276,-0.01621,1.43388,1.08634,1.50913,0.20141,1.50299,before Th
1.04632,1.6626,0.27051,1.03631,-0.49566,0.70856,2.51107,0.57733,-0.57239,1.1632,before Th
1.32664,0.4984,0.26581,0.12328,2.06427,0.4028,1.6114,0.08892,-0.32076,-0.83233,before Th
0.97771,0.13882,2.15019,1.36417,0.35328,0.36772,2.55396,2.59023,-0.10862,1.66202,before Th
0.66658,0.81518,0.10973,0.73103,0.6631,0.15497,0.27724,0.47354,0.65503,0.34175,before Th
1.28378,0.56607,1.32981,1.93772,3.23485,2.95342,4.15786,4.51087,2.62175,1.37051,before Th
-0.83339,-0.28747,-0.42857,-0.59368,-0.48299,-0.75835,-0.44785,-0.53354,-0.01279,-0.556,before Th
