35590_s_at,725_i_at,41117_s_at,37905_r_at,37226_at,34457_at,33069_f_at,39332_at,33021_at,33870_at,38447_at,39586_at,36223_at,36783_f_at,36338_at,32545_r_at,37231_at,38414_at,33322_i_at,32815_at,32407_f_at,38687_at,37317_at,36611_at,36605_at,class
-0.85216,-0.6227,-0.74644,-0.93741,-0.77542,-0.84155,-0.69813,-0.7122,-0.56379,-0.83851,-0.85789,-0.64763,-1.01297,-0.92314,-0.87897,-0.84456,-0.75011,-0.81695,-0.91047,-0.66459,-0.64768,-0.73249,-0.74784,-0.99074,-0.74121,after Th
-0.97689,-0.57153,-0.58051,-0.9263,-0.561,-0.71444,-0.57743,-0.68137,-0.49316,-0.94271,-0.89309,-0.54922,-0.97149,-0.93588,-0.82355,-0.80598,-0.4972,-0.87654,-0.94244,-0.67062,-0.60318,-0.70466,-0.91396,-0.97626,-0.27774,after Th
0.37176,-0.36093,-0.021,1.03777,-0.19741,-0.02209,-0.02697,0.1233,-0.10157,0.56388,0.51811,-0.33069,0.00787,1.60149,0.06307,-0.19823,0.05177,0.56348,0.12547,-0.10033,-0.16079,0.28936,-0.09288,0.41405,-0.0045,after Th
-0.75816,-0.59654,-0.82566,-0.9268,-0.80479,-0.78655,-0.75149,-0.70188,-0.64801,-0.80185,-0.90175,-0.58581,-0.65218,-0.75844,-0.86423,-0.79471,-0.74927,-0.58731,-1.02073,-0.60263,-0.63554,-0.97789,-0.50691,-0.94026,-0.59203,after Th
-0.81937,-0.51101,-0.8194,-0.77847,-0.75572,-0.72346,-0.57009,-0.60323,-0.65239,-0.7764,-0.87866,-0.45226,-0.80026,-0.52586,-0.72348,-0.82488,-0.72022,-0.6679,-0.90332,-0.61416,-0.59147,-0.91118,-0.81959,-0.91806,-0.67822,after Th
-0.90017,-0.64585,-0.65406,-0.90025,-0.72001,-0.75737,-0.71338,-0.69715,-0.52852,-0.87432,-0.7245,-0.58171,-0.93455,-1.01428,-0.8396,-0.79294,-0.69489,-0.91273,-0.89537,-0.62188,-0.61468,-0.94963,-0.57602,-1.10894,-0.70357,after Th
-0.88023,-0.55187,0.14896,0.251,-0.69535,0.28419,-0.36705,0.15788,-0.27207,0.38945,0.21205,-0.64114,0.75825,0.92177,0.51823,-0.26436,0.09577,-0.84095,0.20545,0.22452,0.17401,0.86082,-0.23427,0.35799,-0.39008,after Th
-0.90222,-0.54496,-0.76389,-0.84948,-0.65425,-0.85268,-0.776,-0.73873,-0.58091,-0.87972,-0.92367,-0.52626,-0.99057,-0.82291,-0.85854,-0.87697,-0.72969,-0.74302,-0.95144,-0.6013,-0.79631,-0.95823,-0.86704,-1.03602,-0.76475,after Th
-0.44039,-0.14107,0.5484,-0.27634,-0.60887,0.52117,0.65077,0.07832,0.29157,-0.46205,0.30329,-0.39106,-0.43547,0.17449,1.21452,-0.52217,-0.90566,0.55832,0.33511,-0.0886,-0.56552,-0.6612,-0.77827,0.48557,0.6483,after Th
-0.82574,-0.58914,-0.71008,-0.85679,-0.78903,-0.82659,-0.69628,-0.63834,-0.67381,-1.06383,-0.70395,-0.39769,-0.78014,-0.74427,-0.48433,-0.8762,-0.86417,-0.85492,-0.86537,-0.51791,-0.60185,-0.93487,-0.69617,-1.06216,-0.56212,after Th
-0.03094,-0.4188,-0.24071,-0.40635,0.86981,-0.11969,0.13414,0.57215,-0.64242,0.09799,0.14308,0.27872,1.23025,-0.16036,0.66675,0.13002,-0.80663,0.45511,0.32744,-0.2235,-0.24803,0.75838,-0.36457,0.282,0.87742,after Th
-0.91163,-0.64649,-0.80512,-0.88209,-0.75735,-0.8625,-0.73247,-0.74043,-0.56602,-0.79127,-0.8782,-0.6477,-0.93752,-0.76025,-0.94898,-0.85706,-0.69544,-0.66296,-1.03426,-0.57852,-0.66191,-0.90116,-0.63001,-0.89748,-0.65116,after Th
-0.4991,-0.31462,-0.2457,1.04499,-0.65023,-0.30821,0.65358,-0.02656,-0.58512,-0.18777,-0.2689,0.06145,-0.26252,0.09029,-0.15967,1.42661,0.26598,-0.82297,0.47468,-0.07579,-0.00587,0.82668,-0.77003,0.81006,0.3555,after Th
-1.06323,-0.63827,-0.81274,-0.79554,-0.84923,-0.76691,-0.66162,-0.76041,-0.6536,-0.93386,-0.77478,-0.55717,-0.70289,-0.93134,-0.76927,-0.62657,-0.87754,-0.8781,-0.95626,-0.60759,-0.66785,-0.8938,-0.70589,-1.05274,-0.99683,after Th
0.01092,-0.52789,-0.32216,0.25033,0.09785,-0.04412,0.03533,-0.48197,-0.38468,0.3617,0.1232,-0.34501,-0.28905,-0.20559,0.09308,0.33119,0.35016,0.52574,0.98287,-0.43281,-0.47387,0.03514,-0.0355,1.35517,0.4683,after Th
-0.90042,-0.64014,-0.77887,-0.78869,-0.53651,-0.93448,-0.63194,-0.80939,-0.66805,-0.80902,-0.94564,-0.62253,-0.91512,-1.04453,-0.91296,-0.87512,-0.7916,-0.70226,-0.98725,-0.66981,-0.73321,-0.84087,-0.67672,-0.88335,-0.94066,after Th
0.03241,-0.21289,-0.40169,-0.72453,-0.04918,0.19501,-0.12067,0.63283,0.36073,-0.05036,0.39416,-0.42387,0.59729,0.37957,0.55235,0.01659,-0.87178,0.38857,0.0206,0.22915,0.21876,-0.38492,-0.57316,-0.04841,-0.09421,after Th
-0.81508,-0.57886,-0.71192,-0.84168,-0.9132,-0.72103,-0.50702,-0.82569,-0.40464,-0.7222,-0.9617,-0.17998,-0.70999,-0.9433,-0.67969,-0.35897,-0.54463,-0.86655,-0.98053,-0.5707,-0.75767,-0.79468,-0.86598,-1.02565,-0.43466,after Th
-0.90156,-0.65266,-0.79751,-0.80765,-0.76112,-0.7939,-0.70432,-0.75507,-0.68422,-0.814,-0.80169,-0.62789,-0.62703,-0.7676,-0.84294,-0.90143,-0.74927,-0.61696,-0.9813,-0.58491,-0.76797,-0.86902,-0.85066,-0.97918,-0.85367,after Th
-0.83862,-0.61956,-0.80881,-0.87929,-0.91885,-0.81817,-0.65338,-0.76348,-0.66581,-0.95884,-0.87905,-0.60915,-0.80542,-1.01371,-0.73618,-0.62341,-0.82092,-0.85069,-1.08771,-0.53033,-0.67905,-0.53828,-0.75883,-0.98546,-0.83104,after Th
-0.7259,-0.20185,-0.43871,-0.59715,-0.60099,-0.65168,-0.73521,-0.61322,-0.33677,-0.76499,-0.80129,-0.3845,-0.73645,-0.96917,-0.9422,-0.71762,-0.74565,-0.43651,-0.79432,-0.52545,-0.5565,-0.72623,-0.85848,-0.76761,-0.72984,after Th
-0.83571,-0.64254,-0.76825,-0.95519,-0.72764,-0.66814,-0.65434,-0.72421,-0.66298,-0.7809,-0.74541,-0.59351,-0.81707,-0.88688,-0.79178,-0.81215,-0.77192,-0.81123,-0.87494,-0.61837,-0.66995,-0.87469,-0.58267,-0.96054,-0.6839,after Th
-0.82162,-0.6332,-0.73129,-0.70808,-0.55937,-0.69213,-0.70534,-0.78456,-0.50348,-0.76677,-0.78424,-0.61464,-0.69428,-0.71435,-0.72317,-0.68298,-0.57117,-0.7279,-0.87423,-0.45183,-0.53307,-0.8669,-0.369,-0.98269,-0.75042,after Th
0.345,-0.57756,0.5616,-0.13197,0.14726,0.237,0.57762,0.08148,-0.45299,0.37563,0.34322,-0.19727,0.61555,0.17274,0.09909,0.33582,-0.24039,0.24668,0.5069,-0.15287,0.33999,0.43412,0.1546,0.24037,-0.53256,after Th
0.23653,-0.63312,-0.04654,0.23755,0.12336,0.18266,-0.75979,0.19849,-0.0423,0.76805,1.09492,0.11753,1.01086,1.34128,0.36988,0.96795,0.3419,0.08399,0.81839,-0.16808,0.15597,0.47998,-0.18239,0.89006,0.38848,after Th
-0.89695,-0.60225,-0.83271,-0.85591,-0.61589,-0.96558,-0.74619,-0.70095,-0.45084,-0.82877,-0.94075,-0.64915,-0.7749,-0.95064,-0.82147,-0.77951,-0.83911,-0.45787,-0.97928,-0.64291,-0.7663,-0.90824,-0.62494,-1.05294,-0.30025,after Th
-0.90914,-0.64254,-0.69966,-0.93895,-0.6355,-0.8496,-0.692,-0.71143,-0.52533,-0.87904,-0.90173,-0.63514,-0.71977,-0.82824,-0.85678,-0.79741,-0.95216,-0.8275,-0.97714,-0.55311,-0.62771,-0.89211,-0.73981,-1.0243,-0.74656,after Th
-0.92257,-0.62824,-0.68159,-0.89299,-0.67095,-0.79156,-0.68626,-0.77178,-0.6505,-0.91045,-0.88366,-0.54954,-0.97486,-1.03268,-0.86744,-0.79834,-0.887,-0.80517,-0.89266,-0.64754,-0.76647,-0.96379,-0.72998,-1.00728,-0.67628,after Th
-0.87044,-0.62561,-0.69405,-0.92547,-0.8065,-0.81447,-0.73106,-0.78771,-0.58753,-0.86532,-0.89675,-0.62417,-0.98871,-1.05222,-0.89818,-0.84495,-0.82909,-0.84489,-0.96452,-0.65679,-0.76395,-1.01089,-0.8961,-1.04558,-0.55496,after Th
-0.87501,-0.61593,-0.81249,-0.96329,-0.81164,-0.86966,-0.74619,-0.78775,-0.68655,-0.87809,-0.94994,-0.62246,-0.92298,-0.85382,-0.93773,-0.79062,-0.87559,-0.71467,-0.96742,-0.69363,-0.59873,-0.84315,-0.79645,-1.01091,-0.62784,after Th
-0.89263,-0.64751,-0.70002,-0.93152,-0.70383,-0.79993,-0.72175,-0.76191,-0.57962,-0.64784,-0.85411,-0.60593,-0.83843,-0.91524,-1.0062,-0.91895,-0.84858,-0.69929,-0.92574,-0.66428,-0.54184,-0.90655,-0.70916,-0.8318,-0.67719,after Th
-0.92434,-0.6107,-0.74616,-0.88347,-0.66966,-0.84169,-0.7984,-0.8081,-0.66409,-0.89899,-0.82127,-0.61552,-0.66968,-0.85153,-0.92887,-0.80482,-0.87745,-0.69167,-0.8915,-0.59981,-0.76951,-0.92577,-0.85066,-0.97719,-0.29536,after Th
-0.0459,-0.26617,-0.37663,-0.36569,-0.7755,0.01411,-0.07248,0.42112,-0.51355,0.25299,0.24989,-0.11387,0.65579,0.25778,-0.29341,0.21336,1.71596,0.82912,0.63198,0.19175,-0.59283,0.59249,0.64196,0.3679,-0.92997,after Th
-0.86915,-0.63791,-0.74998,-0.90125,-0.73098,-0.78183,-0.69813,-0.72672,-0.64233,-0.80206,-0.85884,-0.56487,-0.856,-0.81134,-0.85194,-0.7863,-0.62045,-0.69476,-0.95124,-0.60996,-0.61878,-0.89402,-0.80289,-0.93254,-0.85537,after Th
0.56165,1.24842,0.6829,1.15137,4.22269,1.25098,0.24769,-0.22399,2.64945,1.66166,1.72698,3.99775,-0.56329,0.76372,0.95304,0.82658,-0.41757,3.90408,0.60799,1.15536,2.40823,0.99033,1.2685,1.46623,0.90789,before Th
0.46544,0.93759,1.0939,1.68823,-0.11169,2.07002,2.85996,2.40975,4.32851,2.90941,1.51189,2.06789,2.12189,1.19885,1.86674,1.14203,-0.4972,0.0448,1.15421,2.73509,1.70692,1.57949,1.59154,1.24369,4.15584,before Th
0.14683,1.2366,0.91168,1.34985,0.60898,0.72475,0.38505,0.43427,0.08399,0.29493,0.63566,1.85479,0.67487,-0.10407,0.41043,0.69872,0.44511,0.90547,1.22527,0.12853,-0.19789,1.07219,0.68983,0.73478,0.87708,before Th
2.45677,4.67299,2.12892,1.99676,1.20968,2.98961,3.34602,2.74535,3.40596,1.64705,3.31408,2.69282,1.48162,2.60278,3.11636,-0.63328,-0.61479,0.37334,1.69043,1.91674,2.00508,0.69085,2.55897,0.97796,0.3605,before Th
0.62597,-0.23868,-0.05756,0.56099,0.78443,0.09698,0.36182,0.41077,1.00145,0.90855,0.45844,-0.09822,0.32394,0.20064,0.91476,0.40427,0.8299,1.29865,0.85973,0.02546,0.44297,-0.39282,-0.22127,0.92459,-0.19485,before Th
0.27776,1.18538,1.36051,1.44746,1.4199,0.41411,1.07958,0.85747,2.71096,1.6139,0.30307,2.06102,1.29868,-0.20094,0.21688,1.10476,1.20513,1.54884,1.38681,0.2301,0.19487,2.52701,0.98963,0.8656,1.23855,before Th
1.4197,0.21019,0.05743,-0.00685,0.79,0.08941,0.24839,-0.12517,0.16683,0.27184,0.51932,0.2813,1.49768,0.08121,0.70856,1.14157,0.6053,0.70065,0.80546,-0.40842,0.13374,0.49866,0.66796,1.42291,0.39757,before Th
-0.80878,-0.62218,-0.69614,-0.82047,-0.54404,-0.61997,-0.64617,-0.70277,-0.63398,-0.76148,-0.82516,-0.61912,-0.56632,-0.84919,-0.92932,-0.75513,-0.65433,-0.8025,-0.92383,-0.64562,-0.67781,-0.8724,-0.72163,-0.94222,-0.97113,before Th
1.0895,-0.09188,0.70131,1.29641,-0.27182,0.79714,1.83723,1.0257,1.2505,1.42481,2.17208,0.84983,1.1446,0.36593,1.56314,0.73075,3.67501,1.73415,2.12186,0.66705,0.84612,1.39405,1.45015,0.78358,0.37449,before Th
1.03182,-0.1021,-0.3606,0.34493,1.43549,0.3231,0.24214,0.28028,0.51403,0.81586,0.54833,-0.53124,1.34409,1.18937,0.2614,1.29852,0.97672,1.16164,0.62725,0.03515,-0.06439,0.54195,0.26968,1.68895,1.36306,before Th
2.027,1.82744,1.71758,1.15366,1.73151,0.43661,0.37816,1.1974,0.44039,1.24112,1.00751,0.66562,0.17751,1.19854,0.35533,1.11055,0.79045,0.10302,1.48131,0.43013,0.41775,0.81551,0.12184,1.2383,1.37318,before Th
-0.82055,-0.56461,-0.72158,-0.85883,-0.8953,-0.79909,-0.66819,-0.69492,-0.53265,-0.77933,-0.90507,-0.5484,-0.68505,0.11423,-0.90541,-0.72079,-0.63261,-0.67956,-0.81352,-0.65567,-0.66982,-0.70362,-0.72988,-0.84704,-0.35984,before Th
1.55011,0.10966,3.65543,2.08639,1.34352,3.89246,2.32207,2.24885,1.45068,1.92851,2.20729,1.02988,0.57813,0.99853,1.42008,0.71917,0.09753,0.2796,2.09887,3.9177,3.66875,1.5466,1.72194,0.96306,2.45932,before Th
-0.88203,-0.60804,-0.8333,-0.87449,-0.77867,-0.71121,-0.644,-0.70856,-0.65282,-0.80112,-0.87244,-0.61168,-0.69276,-0.51466,-0.85384,-0.72179,-0.59057,-0.60091,-0.63545,-0.63688,-0.58001,-0.85644,-0.85214,-0.91182,-0.77669,before Th
-0.56142,-0.39559,-0.69838,-0.58028,-0.66093,-0.65981,-0.6906,-0.6912,-0.29487,-0.63816,-0.761,-0.46317,-0.57866,-0.62122,-0.8043,-0.77365,-0.34963,-0.09367,-0.51588,-0.55147,-0.57411,-0.87294,-0.51219,-0.79242,-0.75997,before Th
1.74187,0.16405,1.35377,1.24401,2.25909,1.45951,0.71773,0.31709,1.11561,1.31563,1.10797,1.12993,0.5935,0.85216,2.04162,-0.17778,0.81802,0.50188,1.26883,0.5491,0.62909,1.25572,0.68529,0.26033,2.60919,before Th
1.36033,0.65816,0.5377,0.12007,1.28957,0.81407,0.05863,0.56867,0.35454,0.44522,0.42889,0.23771,1.3824,1.2937,0.58734,0.45836,1.71596,2.26922,0.96452,0.57362,0.89173,0.42132,0.78071,1.47634,0.15606,before Th
-0.07581,-0.51833,-0.47045,0.00768,0.60632,0.66189,0.4386,0.10655,0.01026,0.37463,0.39976,-0.58707,0.25669,1.43806,1.10952,1.56219,1.8665,4.3794,0.50078,-0.21026,0.24069,-0.041,0.35665,0.52358,1.13747,before Th
0.87755,-0.06491,-0.03128,0.73684,0.75703,-0.11923,0.6202,0.53482,-0.45299,0.33504,0.0903,0.00959,0.48256,0.40617,0.13516,1.90619,1.59048,2.17842,1.15492,-0.22536,-0.34131,-0.14453,-0.88469,0.7649,1.5566,before Th
-0.9286,-0.55245,-0.77202,-0.85174,-0.64757,-0.61833,-0.6994,-0.70847,-0.66005,-0.8793,-0.91218,-0.51074,-0.56177,-0.99645,-0.80787,-0.78422,-0.76719,-0.59668,-0.87973,-0.67663,-0.67563,-0.95861,-0.70451,-0.96056,-0.49083,before Th
2.42163,0.94084,2.06653,2.78645,1.21182,2.12492,0.95734,0.75288,0.66802,1.33176,1.2116,0.56632,2.67155,0.22078,2.42346,0.49324,2.80054,0.67676,1.64915,1.53625,2.31222,0.63127,-0.6465,0.9485,1.11541,before Th
0.94323,1.22986,1.73679,0.42868,1.02797,0.64463,0.01427,0.1847,0.05689,0.65845,0.58955,0.44141,1.69082,0.70047,0.29417,1.32962,1.04448,2.09271,1.45003,0.23692,0.11429,0.99257,0.85574,1.36246,0.60213,before Th
1.68385,0.53435,0.66528,1.5707,1.42102,1.80732,1.69846,0.94407,0.99406,0.8079,1.10289,0.84895,0.8603,0.86301,1.28412,2.37064,0.53801,0.16227,1.18714,0.52755,0.89763,1.36579,1.5275,2.28413,0.68446,before Th
-0.41349,-0.44613,-0.57165,-0.63973,-0.50637,-0.53008,-0.57526,-0.29222,-0.53204,-0.62355,-0.68346,-0.61262,-0.48336,-0.77983,-0.5859,-0.70721,-0.66788,-0.53348,-0.8032,-0.58959,-0.77173,-0.9328,-0.37513,-0.6366,-0.73337,before Th
2.10804,-0.3565,0.5774,1.09033,0.00605,1.07307,0.00948,0.42508,0.24193,0.05641,1.03863,-0.5448,-0.17452,2.01913,1.31296,1.99447,1.21153,0.70485,1.65812,-0.42926,0.2539,-0.08909,1.40471,0.10632,0.76962,before Th
0.36819,-0.27723,-0.07554,0.42405,0.01401,0.13164,-0.12635,-0.13448,-0.21822,0.06175,0.15772,-0.11532,0.72497,1.91827,1.14396,1.69754,1.99569,1.51057,1.29339,-0.17135,0.05346,-0.43252,0.89537,0.57036,1.27392,before Th
-0.93964,-0.58401,-0.76822,-0.73392,-0.7487,-0.83879,-0.79036,-0.67705,-0.50933,-0.72414,-0.95777,-0.60221,-0.73073,-0.99558,-0.94247,-0.80636,-0.2145,-0.03969,-0.84805,-0.70127,-0.67739,-0.68974,-0.84168,-0.93755,-0.93429,before Th
-0.58828,-0.07821,-0.47694,-0.52797,-0.37852,-0.80372,-0.42283,-0.24712,-0.52757,-0.63234,-0.69025,-0.48166,-0.69145,-0.67735,-0.63092,-0.63236,-0.57145,-0.72117,-0.96175,-0.46548,-0.35841,-0.58163,-0.23121,-0.65685,-0.406,before Th
-0.67355,-0.62667,-0.69609,-0.76586,-0.78218,-0.5428,-0.72462,-0.71948,-0.57833,-0.69932,-0.78894,-0.63312,-0.61972,-0.2655,-0.68267,-0.82095,-0.49098,-0.7759,-0.52346,-0.60684,-0.67033,-0.87267,-0.59039,-0.86863,-0.55177,before Th
1.79058,2.05791,0.55693,1.16773,2.11634,0.77427,0.29678,0.79199,-0.21031,1.30264,0.7134,-0.33479,0.25751,2.20659,0.92416,0.30866,0.91881,1.78725,-0.2669,0.41633,0.12887,0.96071,2.12666,1.13172,2.02985,before Th
1.30646,0.06642,2.40573,0.37027,0.32511,0.75262,0.40458,1.24129,0.47429,0.22948,0.95336,0.5703,0.45872,1.60795,1.79058,0.92134,0.00815,0.6379,0.88965,0.72822,0.46447,1.63613,0.01342,0.51723,1.99812,before Th
-0.79368,-0.33209,-0.60572,-0.48192,-0.77773,-0.81064,-0.68626,-0.55113,-0.53187,-0.67497,-0.87022,-0.398,-0.67636,-0.64948,-0.83323,-0.71454,-0.54008,-0.52843,-0.88517,-0.49659,-0.62301,-0.71414,-0.73664,-0.78055,-0.58668,before Th
0.66987,-0.38397,-0.04051,1.5396,1.05905,0.96653,0.73228,-0.13476,-0.4683,0.02478,0.27422,-0.0157,0.62333,1.86432,0.57843,0.79572,2.01843,0.52395,0.60212,-0.38797,-0.71594,1.17087,-0.01236,0.43117,-0.17745,before Th
-0.57797,0.42738,-0.35943,-0.69772,-0.52375,-0.64957,-0.50868,-0.30363,-0.0977,-0.58333,-0.52168,0.11854,-0.4937,-0.60271,-0.68592,-0.78453,-0.26917,-0.50617,-0.82785,-0.23664,-0.33259,-0.49172,-0.50374,-0.82976,-0.82592,before Th
