531_at,35760_at,418_at,33337_at,34965_at,39310_at,38415_at,36028_at,33170_at,1434_at,38692_at,38559_at,38712_at,32816_at,34668_at,32318_s_at,40656_at,31633_g_at,37194_at,34862_at,34910_s_at,37541_at,955_at,34722_at,37490_at,39983_at,31535_i_at,40245_at,41084_at,38413_at,36964_at,33888_at,35739_at,1152_i_at,1308_g_at,32340_s_at,32954_at,34373_at,41222_at,41824_at,36115_at,36755_s_at,1929_at,32063_at,40447_at,34666_at,37446_at,36100_at,32725_at,41276_at,33386_at,32540_at,34225_at,36720_at,33294_at,31692_at,AFFX-M27830_M_at,36152_at,202_at,34033_s_at,33245_at,38626_at,39884_g_at,225_at,37930_at,1857_at,1000_at,35719_at,36143_at,35827_at,41469_at,41717_at,31744_at,39676_at,33414_at,33369_at,37409_at,41736_g_at,1076_at,914_g_at,34782_at,33404_at,32049_f_at,41710_at,1817_at,41798_at,37948_at,39586_at,37920_at,39954_r_at,41725_at,1389_at,34140_at,39130_at,37758_s_at,41579_s_at,38109_at,38788_at,39023_at,38526_at,class
-0.6269,-0.7417,-0.7589,-0.3598,0.2604,-0.5065,-0.5936,-0.7477,-0.9998,-0.8946,-0.9623,-0.6938,-0.6412,-0.9648,-0.723,-0.7517,-0.6275,-0.796,-0.46,-0.7414,-0.7481,-0.2606,-0.7021,-0.6369,-0.8939,-0.5174,-0.7117,-0.6769,-0.9854,-0.5249,-1.0883,-1.1343,-0.7848,-0.4269,-0.7645,-0.8742,-0.7685,-0.8322,-0.9601,-0.93,-1.0834,-0.7431,-0.7518,-0.3061,-0.6162,-0.2679,-0.6215,-0.4557,-0.7749,-0.9123,-0.7277,-0.8063,-1.0121,-0.6847,-0.6081,-0.4366,-0.1682,-1.1025,-0.9007,-0.8204,-0.6123,-0.7853,-0.85,-0.6794,-0.5244,-0.562,-0.6269,-0.8298,-0.5616,-0.8257,-0.3957,-0.9308,-0.3082,-0.5047,-0.5732,-0.6681,-0.5958,-0.6028,-0.6847,-0.8949,-0.8353,-0.4853,-0.4834,-0.5868,-0.5514,-0.8401,-0.6194,-0.5992,-0.5586,-0.8693,-0.9339,-0.7601,-0.5305,-0.9126,-0.5569,-1.0297,-0.8857,-0.7831,-0.8467,-0.5593,after Th
-0.6603,-0.9332,-0.8953,-0.8525,-0.6429,-0.3535,-0.5639,-0.7401,-0.7546,-0.7852,-0.8214,-0.9045,-0.6738,-0.9999,-0.7834,-0.9228,-0.5483,-0.7944,-0.4928,-0.7588,-0.5045,-0.6064,-0.9003,-0.709,-0.9368,-0.7269,-0.745,-0.6163,-0.9494,-0.5378,-0.5003,-0.7856,-0.1133,-0.5199,-0.7754,-1.0003,-0.9317,-0.6739,-0.822,-0.9315,-0.9161,-0.6121,-0.6616,-0.3369,-0.7665,-0.6231,-0.8005,-0.7889,-0.7008,-0.912,-0.7742,-0.7537,-0.9254,-0.566,-0.8313,-0.8355,-0.4874,-0.9732,-0.8356,-0.8562,-0.4825,-0.8664,-0.7417,-0.8969,-0.5632,-0.3237,-0.6603,-0.8857,-0.7079,-0.7588,-0.6282,-0.7545,-0.6281,-0.4122,-0.6888,-0.6204,-0.7523,-0.8223,-0.566,-0.9131,-0.769,-0.3817,-0.2376,-0.7815,-0.9568,-0.7696,-0.8051,-0.6529,-0.653,-0.6528,-1.0383,-0.0535,-0.4324,-0.666,-0.5499,-0.7921,-0.7257,-0.7427,-0.9143,-0.2887,after Th
-0.0878,0.8044,0.8993,0.4821,1.0822,-0.4951,0.0672,0.9706,0.551,-0.028,0.6979,0.3725,-0.9341,0.9264,0.9317,0.8314,0.6257,0.7673,-0.3088,0.0336,-0.661,-0.3785,0.3286,-0.5222,0.3561,0.2673,-0.081,0.6591,1.2254,1.1293,0.3487,1.1469,0.0292,-0.6312,2.7022,1.1828,0.7853,0.9949,1.3649,1.1402,0.5494,-0.5742,0.3551,-0.2363,3.321,-0.407,0.4135,1.5689,0.1506,0.2859,-0.3129,0.0705,0.5432,-0.1967,1.8507,0.1243,-0.0456,0.2401,0.7933,0.2946,0.4186,1.5083,1.5165,1.8103,1.3883,0.0004,-0.0878,3.0502,0.0713,0.6077,-0.1176,0.9317,0.4345,0.1003,1.1948,0.4745,-0.0716,0.1149,-0.1967,-0.3987,1.4947,-0.4494,-0.5902,1.2335,1.4497,1.6953,0.7041,-0.5536,-0.1022,1.3508,1.0732,-0.3294,-0.6293,2.3287,0.7774,1.4746,0.6248,0.8379,0.8306,-0.6713,after Th
-0.4245,-0.95,-0.9607,-0.8091,-0.7409,-0.355,-0.5998,-0.7828,-0.8359,-0.6496,-0.64,-0.8515,-0.7575,-0.8838,-0.7447,-0.9637,-0.6573,-0.7895,-0.4305,-0.7771,-0.6852,-0.8787,-0.6876,-0.5652,-0.8957,-0.7701,-0.7602,-0.7059,-1.0154,-0.5521,-0.9956,-0.9238,-0.8138,-0.6196,-0.9274,-0.7984,-1.0068,-0.7406,-0.656,-0.7069,-0.836,-0.67,-0.5155,-0.3304,-0.6359,-0.6712,-0.9282,-0.8195,-0.731,-0.8533,-0.2037,-0.7576,-0.7739,-0.9104,-0.8059,-0.3589,-0.4656,-0.9349,-0.9335,-0.419,-0.6737,-0.7972,-0.7022,-0.6774,-0.5293,-0.8133,-0.4245,-0.1326,-0.5644,-0.7951,-0.5943,-0.6814,-0.6501,-0.489,-0.5377,-0.6316,-0.6605,-0.5568,-0.9104,-0.5688,-0.7029,-0.4938,-0.4199,-0.5578,-0.6856,-0.7597,-0.8262,-0.5947,-0.6064,-0.5788,-0.8903,-0.8374,-0.6023,-0.889,-0.6318,-0.7628,-0.6536,-0.8635,-0.7474,-0.6011,after Th
-0.5415,-1.0061,-0.8674,-0.9056,-0.71,-0.7115,-0.6381,-0.6113,-0.726,-0.6778,-0.6765,-0.663,-0.7136,-1.107,-0.7683,-0.8108,-0.5978,-0.9693,-0.1041,-0.7588,-0.6965,-0.5701,-0.7746,-0.6395,-0.8791,-0.7971,-0.7172,-0.628,-0.6312,-0.5791,-0.82,-0.8257,-0.3157,-0.656,-0.8232,-0.9009,-0.7523,-0.946,-0.6091,-0.9587,-0.9464,-0.6369,-0.5511,-0.3361,-0.8591,-0.7982,-0.7219,-0.5149,-0.7119,-0.7898,-0.4496,-0.8611,-0.7746,-0.9408,-0.7877,-0.9171,-0.6597,-0.8271,-0.8193,-0.4965,-0.5516,-0.8571,-0.904,-0.7893,-0.6118,-0.6214,-0.5415,-0.6085,-0.5608,-0.8647,-0.6297,-0.8773,-0.6536,-0.4144,-0.7121,-0.7118,-0.7376,-0.7953,-0.9408,-0.2783,-0.8673,-0.483,-0.4232,-0.0602,-0.9311,-0.8347,-0.7954,-0.643,-0.3686,-0.4787,-0.8873,-0.2196,-0.107,-0.8772,-0.6088,-0.9723,-0.7208,-0.8242,-0.9629,-0.7773,after Th
0.4352,1.104,0.9693,1.5893,-0.1531,0.5679,-0.3251,0.0845,0.7695,1.782,1.5561,0.9084,0.755,-0.2616,0.5895,0.1279,-0.4941,1.3123,0.5671,1.1701,-0.483,0.5894,2.8061,-0.2782,0.3632,-0.1441,2.0782,0.586,0.8648,0.2495,0.8313,0.1403,2.8566,0.2997,0.44,0.1953,0.6578,0.9186,0.1803,1.5167,0.9575,-0.6302,1.4122,-0.2875,-0.6224,0.3477,0.0881,0.1389,0.1353,0.5764,0.8947,0.7864,-0.1764,-0.4408,1.0308,0.6539,3.0034,0.0398,1.7875,3.6349,3.7194,0.8961,0.7064,-0.3261,-0.0754,0.8836,0.4352,1.2865,0.8657,0.835,0.8792,0.3044,0.0446,0.3527,1.3736,0.4781,1.8116,0.3874,-0.4408,2.5559,0.0051,0.3166,-0.3148,1.5681,1.391,-0.4812,1.1415,0.2323,-0.1159,0.4029,0.7321,-0.2251,2.7659,1.1823,1.25,1.152,1.5618,-0.8742,0.1848,1.0284,after Th
-0.6623,-0.7189,-0.6785,-0.7679,-0.5744,-0.3434,-0.6677,-0.5184,-0.7081,-0.8755,-0.9126,-0.9065,-0.7207,-0.9055,-0.78,-0.8226,0.0549,-0.5981,-0.4588,-0.7109,-0.7346,-0.8374,-0.3351,-0.6725,-0.8915,-0.7772,-0.7731,-0.6122,-0.839,-0.4566,-0.9022,-0.8764,-0.9139,-0.51,-0.8486,-0.7007,-0.8882,-0.5384,-0.7463,-0.7559,-0.8469,-0.6991,-0.5171,-0.3387,-0.6625,-0.7675,-0.7714,-0.7635,-0.8276,-0.9743,-0.7268,-0.772,-0.6753,-0.6257,-0.7238,0.2429,-0.6303,-0.6585,-0.8385,-0.5059,-0.8088,-0.8857,-0.8663,-0.7642,-0.6581,-0.6964,-0.6623,-0.5678,-0.6631,-0.8377,-0.655,-0.8152,-0.6223,-0.4529,-0.6209,-0.4514,-0.6541,-0.7603,-0.6257,-0.6828,-0.8536,-0.4913,-0.6121,-0.6727,-0.9903,-0.7456,-0.6397,-0.6568,-0.668,-0.546,-0.943,-0.6312,-0.6534,-0.9552,-0.5615,-0.8228,-0.7177,-0.7443,-0.9366,-0.8876,after Th
-0.7128,-0.9846,-0.7543,-0.8826,-0.1727,-0.6422,-0.5858,-1.0339,-0.9161,-0.7439,-0.8594,-0.896,-0.4275,-0.8083,-0.7893,-0.8675,-0.0422,-0.5811,-0.3683,-0.779,-0.6037,-0.429,-0.7795,-0.6521,-0.8299,-0.7666,-0.4755,-0.712,-0.365,-0.5304,-0.8745,-0.7175,-0.9378,-0.5957,-0.8567,-0.8267,-0.6436,-1.0818,-0.8094,-0.851,-0.7509,-0.686,-0.5912,-0.3139,-0.8776,-0.7935,-0.3797,-0.8472,-0.7803,-0.8244,-0.8438,-0.7687,-0.7548,-0.633,-0.7714,-0.8978,-0.2677,-0.8125,-0.7144,-0.9676,-0.29,-0.6854,-0.7379,-0.5406,-0.4323,-0.6105,-0.7128,-0.9966,-0.6217,-1.0738,-0.779,-0.3689,-0.4455,-0.3273,-0.5833,-0.4964,-0.6823,-0.8161,-0.633,-0.8808,-0.3373,-0.4875,-0.378,-0.9082,-1.0524,-0.5863,-0.7724,-0.6532,-0.6543,-0.5672,-0.8013,-0.8866,-0.6279,-0.7613,-0.6287,-0.7923,-0.6694,-0.7112,-0.7501,-0.8465,after Th
-0.6999,-0.9681,-0.9396,-0.8238,0.1358,-0.6615,-0.6634,-0.7158,-0.8172,-0.8299,-0.7693,-0.8717,-0.6449,-0.978,-0.9263,-0.8382,-0.551,-0.7759,-0.404,-0.7962,-0.3898,-0.5754,-0.8251,-0.699,-0.8915,-0.702,-0.8888,-0.6548,-0.5468,-0.6142,-0.8939,-0.676,-0.4874,-0.6341,-0.8086,-0.9334,-0.8128,-0.7084,-0.9304,-0.9956,-0.9087,-0.7587,-0.6189,-0.3347,-0.6517,-0.8397,-0.6005,-0.8088,-0.7958,-0.9965,-0.1579,-0.7808,-0.8757,-0.7386,-0.7971,-0.7158,-0.6498,-0.667,-0.8204,-0.3634,-0.3583,-0.8804,-0.9466,-0.7625,-0.566,-0.5513,-0.6999,-0.6306,-0.5671,-0.9893,-0.6319,-0.8896,-0.6591,-0.4441,-0.8186,-0.6739,-0.8976,-0.6779,-0.7386,-0.5447,-0.7746,-0.4896,-0.4941,-0.1436,-0.9038,-0.7513,-0.7629,-0.5511,-0.6438,-0.7912,-0.7449,-0.4539,-0.6419,-0.8481,-0.8161,-0.8799,-0.785,-0.6915,-1.0073,-0.6243,after Th
-0.3532,0.4887,0.0853,1.5978,0.4722,-0.5688,0.428,1.1013,1.3773,-0.0156,0.2675,0.4467,1.0205,0.4732,0.6376,1.012,-0.5992,0.5791,-0.3388,0.2868,-0.5927,0.3654,0.5436,-0.4581,0.3059,0.2192,-0.048,-0.7146,2.4514,0.4719,1.8972,0.5209,1.4803,0.3365,0.487,0.6783,1.6385,1.4521,0.8089,0.3283,0.9775,0.4334,-0.6963,-0.2787,0.3723,-0.665,0.2866,0.3574,1.2541,0.8369,0.9579,-0.0125,0.2022,-0.0839,1.059,0.6773,0.5518,0.8454,0.9776,1.5808,1.0124,0.8613,0.4908,-0.4819,-0.4804,0.0317,-0.3532,1.1417,0.6378,0.0513,-0.144,-0.2557,-0.3425,-0.0255,0.9888,0.8195,1.2726,2.4236,-0.0839,1.0564,0.1295,0.5211,-0.2577,0.7212,1.2721,-0.048,0.479,-0.4888,-0.0224,1.8281,0.8746,1.5274,-0.0019,1.4646,1.0968,0.2564,-0.1305,0.9167,0.8308,0.3033,after Th
0.8072,0.2073,1.6498,1.8377,-0.3592,-0.3655,0.0845,-0.3346,-0.0827,0.163,0.1457,1.3249,0.8295,0.8988,0.576,1.2475,-0.5755,-0.4686,-0.0333,0.7919,1.2408,-0.0295,0.4,0.7543,1.1227,1.3797,0.618,-0.6086,0.3559,-0.0529,-0.6574,0.3186,0.7603,0.8006,0.6712,-0.0165,0.8826,1.0326,0.7676,0.6722,1.4599,-0.5598,-0.4501,-0.1324,0.0535,0.2386,1.1937,0.6153,2.8879,1.1757,-0.748,0.7323,0.4665,-0.1417,-0.1144,-0.1663,5.1598,0.8062,0.559,1.0219,0.0108,-0.4954,0.3198,0.8116,-0.285,0.4665,0.8072,0.7637,0.9643,-0.0694,1.1515,1.4821,1.297,0.8908,0.9264,0.3629,0.8816,0.4038,-0.1417,-0.7271,1.9465,-0.387,-0.4852,-0.5106,0.7716,1.5064,0.5655,0.2478,0.0172,1.6678,1.082,-0.5987,1.7943,2.022,0.7995,0.3503,1.6481,0.8838,1.0684,-0.2368,after Th
-0.5698,-0.7114,-0.5112,-0.9197,-0.2123,-0.4964,-0.1997,-0.7211,-0.9,-0.8664,-0.3254,-0.803,-0.7448,-0.9646,-0.8889,-0.7383,-0.5485,-0.6785,-0.4848,-0.5636,-0.4855,-0.6201,-0.8575,-0.7396,-0.9677,-0.5454,-0.7426,-0.6053,-0.6003,-0.5505,-0.7253,-0.6702,-0.8813,-0.6311,-0.6281,-0.6148,-0.5761,-0.6462,-0.9725,-0.9193,-1.0017,-0.7044,-0.7508,-0.3305,-0.7054,-0.8433,-0.5042,-0.4596,-0.7343,-0.9008,-0.7419,-0.8331,-0.8171,-0.7162,-0.7586,-0.8834,-0.6734,-1.0054,-0.8226,-0.9781,-0.7986,-0.7234,-0.9721,-0.7431,-0.6597,-0.7367,-0.5698,-0.9123,-0.669,-0.8305,-0.6557,-0.6822,-0.3658,-0.4465,-0.7967,-0.0569,-0.3158,-0.8098,-0.7162,-0.9178,-0.5949,-0.4394,-0.6064,-0.8996,-0.9447,-0.8123,-0.751,-0.6413,-0.0016,-0.5983,-0.9778,-0.8854,-0.6609,-0.923,-0.563,-0.6169,-0.6527,-0.82,-0.8553,-0.679,after Th
