34255_at,856_at,33812_at,36499_at,1220_g_at,40077_at,40096_at,37318_at,38635_at,33818_at,38027_at,966_at,37796_at,40991_at,33357_at,38647_at,39458_s_at,37557_at,35560_at,843_at,class
-0.426,-1.5322,-0.6702,-2.1141,-1.2445,-1.2647,-1.8655,-1.2842,-1.4238,-1.908,-0.1668,-1.2515,-0.465,-0.3224,-0.4944,-1.8796,1.6057,-1.7767,0.4959,-0.1214,MLL
0.0145,4.0467,1.3722,2.1898,0.8106,1.1583,0.3244,1.1088,-0.3976,1.0938,3.8443,0.3729,-0.6421,2.1408,3.426,-1.0874,-1.3037,2.1119,1.1448,1.6311,MLL
-1.4262,-1.0906,-1.3073,-1.2137,-1.0633,-1.1179,0.1036,-1.2099,0.7179,-1.5564,1.7574,-0.5592,-1.6405,-0.37,-0.6305,-1.1706,1.7438,-1.4319,-0.6399,-1.2652,MLL
-0.409,0.6151,-0.3555,1.5494,1.0018,0.1437,-0.4296,-0.7271,0.2413,0.2899,-0.4921,2.4935,0.7745,-0.0365,-1.1128,0.1066,-0.2725,0.232,0.1271,-1.2618,MLL
0.3562,0.3477,0.953,0.4007,1.1165,0.1571,1.3038,0.1561,0.2213,1.0493,0.3605,1.5833,0.0457,-1.3086,-1.2921,0.5839,-0.2173,0.0897,-0.6841,-0.3834,MLL
-0.9698,-0.3006,-0.7648,0.0126,-1.4174,0.1571,-1.9815,0.1694,-1.8596,-1.7344,-0.5819,-0.9537,1.8405,1.3309,0.5382,-1.5828,0.5101,-1.2256,-0.5661,1.4349,MLL
-0.0957,0.0074,0.2454,0.521,-0.5878,-0.3569,0.5373,0.5965,0.8348,0.16,1.5947,-1.145,-0.312,1.6739,-0.3646,1.5582,0.2523,-0.0096,-1.7461,-0.1816,MLL
0.5197,0.3355,0.3554,1.1769,1.2246,0.1938,0.2293,-0.2767,0.0818,0.8258,-0.8568,2.9074,1.7061,0.1064,-1.6013,-0.0828,1.4216,-0.1453,-1.9231,-0.7423,MLL
4.5488,2.0372,2.0545,0.3736,1.8049,3.5747,3.0995,0.2256,3.1297,2.9543,-0.3968,1.087,-0.9242,0.7258,2.9498,2.6132,0.2063,2.3086,-0.4776,0.0213,MLL
-0.6792,0.368,-0.2729,1.9492,1.2429,0.3239,0.3301,0.5079,1.0471,0.5757,0.1979,-0.8787,1.699,2.0074,0.6433,0.5857,-1.5431,1.7231,-1.2003,0.5464,MLL
-0.3341,-0.418,2.3879,-0.0262,1.8198,-0.9209,-0.185,-0.4438,0.0889,1.2318,-0.1724,0.3148,0.8848,-0.5368,-1.0695,1.0992,0.8047,0.6485,1.5726,0.0581,MLL
-0.0593,0.9352,-0.3246,0.2067,-0.0773,1.5455,-0.1604,2.9633,0.2763,-0.092,0.6691,-0.8037,1.8707,1.9216,-0.9458,-0.42,-0.4659,1.7527,-0.3596,2.7237,MLL
0.4652,0.214,0.2025,-0.1814,0.094,0.5042,0.6998,1.6073,-0.7188,0.8641,-0.5707,-0.6681,0.7754,1.3404,0.464,-0.6045,-0.8065,0.9341,0.4664,1.28,AML
0.2949,-0.9164,-1.7508,0.3852,-0.7989,-1.1078,-0.8073,-0.869,1.0249,-0.6065,-0.5679,-1.2612,-0.5567,-0.3176,0.8845,-0.573,-0.4382,-0.0918,0.8056,-0.4681,AML
0.2256,0.0357,1.4063,0.1097,0.4032,-0.5738,1.1633,-0.5952,1.7957,1.0217,0.526,-0.4284,0.1427,0.4113,-0.5315,0.1531,0.6666,-1.2151,0.8056,-0.1704,AML
-0.3704,-0.1993,-0.6845,-0.0068,-0.3184,-0.2801,-0.1564,-0.9866,0.8272,-0.2184,0.2932,0.2228,-0.1678,-1.5516,-1.0015,1.2011,-0.8249,0.4097,0.2599,-0.5294,AML
-0.7927,0.2424,0.6415,-1.0934,-1.0068,-0.6005,-0.2627,-0.869,-0.9116,-0.8745,0.4195,-1.1983,-0.336,-1.1752,-0.2162,-1.4934,1.0441,-0.8254,1.7053,-0.8438,AML
-0.2376,-0.8799,-1.1489,-0.5967,-0.2619,-1.6519,0.639,0.3927,-0.6015,0.1947,1.2974,-0.7891,-1.2285,-1.4325,-0.3399,-0.0932,-1.5154,-1.1368,0.6581,-0.4146,AML
1.3461,0.8622,0.1485,-0.4414,-0.8305,1.5188,1.3052,0.0023,0.2817,0.5517,-0.0293,-0.3364,-0.9019,-0.1795,0.2723,1.1907,0.0497,-0.1032,0.7466,1.7705,AML
-1.1333,-0.9569,-1.4339,-1.5164,-1.9312,-0.2534,-1.9561,-0.1506,-1.5628,-1.5831,-0.4276,-0.6608,0.3803,0.6448,-0.1543,-1.8126,1.0625,-1.3775,0.0239,-0.7501,AML
-0.1468,-0.5842,-0.6845,-0.9188,-0.1538,0.2739,0.0887,-0.2182,-0.0799,0.403,-0.5202,0.2857,-0.7266,0.2827,-0.6614,0.0558,1.0533,-0.4423,0.7466,1.2331,AML
0.5776,0.6313,0.9089,1.3244,1.9695,1.4754,0.329,-0.4134,-0.6654,0.6407,-0.0995,0.6609,1.134,0.9688,1.1504,-0.2992,0.8415,0.8348,1.6611,-1.0913,AML
-1.3854,0.6475,-0.7384,0.5986,1.2695,1.8859,1.0158,-0.7367,-0.4473,0.6531,1.8387,2.7428,0.7718,1.469,-0.0925,-0.7903,-0.696,1.0592,-1.6576,-0.1392,AML
0.0905,-0.5234,-0.2751,0.0282,-0.2003,0.5409,1.5121,0.8526,1.8223,-0.1614,-0.3884,1.53,-0.2283,0.7687,-0.3275,0.6892,0.3352,-0.2351,-0.1531,0.7972,AML
-0.6054,-0.1182,0.9188,1.2157,-0.2203,0.6243,0.395,1.0255,-0.5166,-0.7774,-0.3098,0.673,-0.9197,0.3399,-0.4017,-0.5993,1.5689,0.5625,-1.2298,0.3089,AML
0.5321,0.8906,0.833,-0.0456,-0.4331,-0.6106,-0.6398,-0.7747,-0.5193,-0.6875,-1.4963,-0.3389,-1.3184,0.2636,-0.7665,0.0457,-0.5027,1.0697,-1.2298,-0.972,AML
-1.3876,0.2059,0.5579,0.5831,0.5362,-1.1179,-0.3081,-0.999,-1.6143,0.938,0.0212,-1.0046,0.2975,-2.0757,-0.7294,-0.7526,0.0129,0.2129,-0.1384,-0.8639,AML
-0.1865,0.7853,1.6517,1.0876,0.3151,0.6577,1.1547,-0.3477,0.5975,1.6172,0.2736,-0.4526,-0.3743,0.8354,-1.0015,0.5328,-1.8653,0.9752,0.2894,-0.2853,AML
1.2587,1.8387,0.745,1.5727,2.0626,-0.5104,-0.387,2.1367,-0.6535,-1.4299,1.9089,-0.288,-0.7525,-0.9751,0.1239,-0.1801,-1.3221,1.086,-1.0233,0.8128,AML
-0.3193,-1.1716,-1.3855,-0.3095,-0.2502,-0.6172,0.419,0.2837,-0.4362,0.2365,0.066,-1.0118,-1.3887,-0.0318,-0.9953,0.0365,0.4825,-1.5685,-0.8021,1.0392,AML
-0.0253,1.1134,-0.2069,0.3231,0.3716,-0.3436,0.8333,0.6736,0.5424,0.3309,1.3282,0.6827,1.4712,0.6162,-0.0987,0.6069,0.1418,1.6543,-0.8316,0.4405,AML
0.5832,1.2998,1.0058,0.164,-0.335,-0.981,-0.4944,-0.1182,0.1013,-0.1863,0.599,-0.1234,-0.4953,-0.1175,-0.748,1.2846,-1.718,0.3562,0.1271,0.8664,AML
0.3108,-0.961,0.6338,-1.6561,-1.2146,-0.2668,-1.7227,-0.9395,1.1884,-1.6151,0.5204,-0.4986,-0.3645,-0.2128,1.5833,1.336,-0.0884,-0.5751,0.6139,-0.9542,AML
0.1677,0.6354,0.0011,0.6142,-0.0075,0.2672,0.4661,0.3927,0.1333,-0.2878,0.6747,0.247,-1.3958,0.6067,1.1195,0.307,0.372,0.6122,-0.3449,0.3402,AML
-0.3772,-0.4302,0.1221,-0.3754,-0.4231,0.1738,-0.6144,1.503,0.717,-0.3412,0.6719,-0.0581,0.6277,0.0445,1.7255,0.8471,0.6298,-1.239,0.8794,-0.2897,AML
0.7774,-0.9974,0.4545,0.5792,-0.35,1.3486,0.2479,0.5455,-0.808,0.8045,-0.307,0.4334,0.5903,0.3875,0.6372,0.5166,0.4733,-0.4204,1.0563,-0.2306,AML
2.377,-1.046,-0.6944,-0.3677,0.9902,-0.7307,-0.9478,-1.1147,-0.4256,0.1893,-1.2551,-0.3219,1.0824,-0.0985,-1.0262,0.8761,0.2615,0.531,0.2156,-1.2775,AML
-1.4433,0.4652,0.7483,-0.7752,-0.3816,0.1537,-1.2738,-0.6143,0.2977,-0.1018,-0.3856,-0.84,0.657,1.045,0.8598,-0.5106,0.0497,0.7278,0.0534,1.1027,AML
0.5571,-1.0258,-0.6207,0.1834,1.3942,-0.4904,0.2241,-0.7862,0.2888,-0.14,-1.2326,2.1182,1.4419,-0.1938,-0.2347,0.0093,0.8876,1.022,-0.8758,-1.7256,AML
-0.9505,0.372,-1.0916,-0.7286,0.6526,-0.1466,-1.0241,-0.0372,-0.8116,0.589,-0.9718,-0.3292,1.6777,0.1398,-0.0492,-1.2603,0.8231,0.0544,-0.3744,-0.3979,AML
