34255_at,856_at,33812_at,36499_at,1220_g_at,40077_at,40096_at,37318_at,38635_at,33818_at,class
-0.4624,0.1694,-0.0506,0.2688,0.0241,-0.467,-0.2438,-0.8628,-0.0968,-0.5647,MLL
-0.3273,-1.0703,0.5854,-0.8955,-1.1398,-0.7908,0.4367,-0.292,-0.5086,-0.5451,MLL
-0.426,-1.5322,-0.6702,-2.1141,-1.2445,-1.2647,-1.8655,-1.2842,-1.4238,-1.908,MLL
0.0145,4.0467,1.3722,2.1898,0.8106,1.1583,0.3244,1.1088,-0.3976,1.0938,MLL
-1.4262,-1.0906,-1.3073,-1.2137,-1.0633,-1.1179,0.1036,-1.2099,0.7179,-1.5564,MLL
-0.409,0.6151,-0.3555,1.5494,1.0018,0.1437,-0.4296,-0.7271,0.2413,0.2899,MLL
0.3562,0.3477,0.953,0.4007,1.1165,0.1571,1.3038,0.1561,0.2213,1.0493,MLL
-0.9698,-0.3006,-0.7648,0.0126,-1.4174,0.1571,-1.9815,0.1694,-1.8596,-1.7344,MLL
-0.0957,0.0074,0.2454,0.521,-0.5878,-0.3569,0.5373,0.5965,0.8348,0.16,MLL
0.5197,0.3355,0.3554,1.1769,1.2246,0.1938,0.2293,-0.2767,0.0818,0.8258,MLL
4.5488,2.0372,2.0545,0.3736,1.8049,3.5747,3.0995,0.2256,3.1297,2.9543,MLL
-0.6792,0.368,-0.2729,1.9492,1.2429,0.3239,0.3301,0.5079,1.0471,0.5757,MLL
-0.3341,-0.418,2.3879,-0.0262,1.8198,-0.9209,-0.185,-0.4438,0.0889,1.2318,MLL
-0.0593,0.9352,-0.3246,0.2067,-0.0773,1.5455,-0.1604,2.9633,0.2763,-0.092,MLL
0.4652,0.214,0.2025,-0.1814,0.094,0.5042,0.6998,1.6073,-0.7188,0.8641,AML
0.2949,-0.9164,-1.7508,0.3852,-0.7989,-1.1078,-0.8073,-0.869,1.0249,-0.6065,AML
0.2256,0.0357,1.4063,0.1097,0.4032,-0.5738,1.1633,-0.5952,1.7957,1.0217,AML
-0.3704,-0.1993,-0.6845,-0.0068,-0.3184,-0.2801,-0.1564,-0.9866,0.8272,-0.2184,AML
-0.7927,0.2424,0.6415,-1.0934,-1.0068,-0.6005,-0.2627,-0.869,-0.9116,-0.8745,AML
-0.2376,-0.8799,-1.1489,-0.5967,-0.2619,-1.6519,0.639,0.3927,-0.6015,0.1947,AML
1.3461,0.8622,0.1485,-0.4414,-0.8305,1.5188,1.3052,0.0023,0.2817,0.5517,AML
-1.1333,-0.9569,-1.4339,-1.5164,-1.9312,-0.2534,-1.9561,-0.1506,-1.5628,-1.5831,AML
-0.1468,-0.5842,-0.6845,-0.9188,-0.1538,0.2739,0.0887,-0.2182,-0.0799,0.403,AML
0.5776,0.6313,0.9089,1.3244,1.9695,1.4754,0.329,-0.4134,-0.6654,0.6407,AML
-1.3854,0.6475,-0.7384,0.5986,1.2695,1.8859,1.0158,-0.7367,-0.4473,0.6531,AML
0.0905,-0.5234,-0.2751,0.0282,-0.2003,0.5409,1.5121,0.8526,1.8223,-0.1614,AML
-0.6054,-0.1182,0.9188,1.2157,-0.2203,0.6243,0.395,1.0255,-0.5166,-0.7774,AML
0.5321,0.8906,0.833,-0.0456,-0.4331,-0.6106,-0.6398,-0.7747,-0.5193,-0.6875,AML
-1.3876,0.2059,0.5579,0.5831,0.5362,-1.1179,-0.3081,-0.999,-1.6143,0.938,AML
-0.1865,0.7853,1.6517,1.0876,0.3151,0.6577,1.1547,-0.3477,0.5975,1.6172,AML
1.2587,1.8387,0.745,1.5727,2.0626,-0.5104,-0.387,2.1367,-0.6535,-1.4299,AML
-0.3193,-1.1716,-1.3855,-0.3095,-0.2502,-0.6172,0.419,0.2837,-0.4362,0.2365,AML
-0.0253,1.1134,-0.2069,0.3231,0.3716,-0.3436,0.8333,0.6736,0.5424,0.3309,AML
0.5832,1.2998,1.0058,0.164,-0.335,-0.981,-0.4944,-0.1182,0.1013,-0.1863,AML
0.3108,-0.961,0.6338,-1.6561,-1.2146,-0.2668,-1.7227,-0.9395,1.1884,-1.6151,AML
0.1677,0.6354,0.0011,0.6142,-0.0075,0.2672,0.4661,0.3927,0.1333,-0.2878,AML
-0.3772,-0.4302,0.1221,-0.3754,-0.4231,0.1738,-0.6144,1.503,0.717,-0.3412,AML
0.7774,-0.9974,0.4545,0.5792,-0.35,1.3486,0.2479,0.5455,-0.808,0.8045,AML
2.377,-1.046,-0.6944,-0.3677,0.9902,-0.7307,-0.9478,-1.1147,-0.4256,0.1893,AML
-1.4433,0.4652,0.7483,-0.7752,-0.3816,0.1537,-1.2738,-0.6143,0.2977,-0.1018,AML
0.5571,-1.0258,-0.6207,0.1834,1.3942,-0.4904,0.2241,-0.7862,0.2888,-0.14,AML
-0.9505,0.372,-1.0916,-0.7286,0.6526,-0.1466,-1.0241,-0.0372,-0.8116,0.589,AML
